Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.615	0	0	0	0	0	0	11-May-19	7:12 PM	Saturday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.155	0.175	0.14	0.15	15.38	"57,030"	0.16	100	0	0	11-May-19	7:12 PM	Saturday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.22	0.23	0.195	0.225	40.63	"1,929"	0.1	200	0.225	100	11-May-19	7:12 PM	Saturday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.685	0	0	0	0	0	0	11-May-19	7:12 PM	Saturday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	0.91	0.91	0.91	0.91	-20.18	50	0	0	0	0	11-May-19	7:12 PM	Saturday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.455	0.485	0.455	0.485	18.29	200	0.175	100	0	0	11-May-19	7:12 PM	Saturday
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70338	0.135	0.17	0.135	0.165	37.5	"58,631"	0.13	500	0.165	"1,920"	11-May-19	7:12 PM	Saturday
A50CHIN-C40: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70340	0.23	0.25	0.215	0.24	20	"47,703"	0.18	100	0.26	90	11-May-19	7:12 PM	Saturday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.005	300	0	0	11-May-19	7:12 PM	Saturday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.03	0.03	0.025	0.03	-33.33	410	0.03	100	0.045	233	11-May-19	7:12 PM	Saturday
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70329	0.42	0.42	0.345	0.36	-16.28	"8,284"	0.345	150	0.49	200	11-May-19	7:12 PM	Saturday
ASTRAL ASIA BHD	7054	0.16	0.16	0.16	0.16	3.23	320	0.155	500	0.16	30	11-May-19	7:12 PM	Saturday
AIRASIA X BERHAD	5238	0.225	0.23	0.225	0.225	0	"19,930"	0.225	"90,950"	0.23	"39,752"	11-May-19	7:12 PM	Saturday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	0.035	0.04	0.035	0.04	0	"6,393"	0.03	"108,074"	0.04	"56,492"	11-May-19	7:12 PM	Saturday
ABF MALAYSIA BOND INDEX FUND	0800EA	1.181	1.181	1.181	1.181	0.34	2	1.181	998	1.186	"1,000"	11-May-19	7:12 PM	Saturday
ABLEGROUP BERHAD	7086	0.075	0.08	0.075	0.08	0	"7,127"	0.075	407	0.08	"4,793"	11-May-19	7:12 PM	Saturday
ALLIANCE BANK MALAYSIA BERHAD	2488	3.74	3.81	3.74	3.74	0.81	"26,006"	3.74	403	3.78	100	11-May-19	7:12 PM	Saturday
