Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.29	0.3	0.285	0.285	-5	"5,898"	0.275	"1,000"	0.285	500	6-Mar-19	10:51 AM	Wednesday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.91	0	0	0.865	"3,000"	0.89	100	6-Mar-19	10:51 AM	Wednesday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.505	0	0	0.52	"3,000"	0.535	"3,000"	6-Mar-19	10:51 AM	Wednesday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.295	0.3	0.285	0.29	-1.69	"5,201"	0.285	381	0.29	315	6-Mar-19	10:51 AM	Wednesday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.405	0.425	0.395	0.405	-1.22	"77,190"	0.395	"3,150"	0.4	"5,000"	6-Mar-19	10:51 AM	Wednesday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	0.82	0.82	0.82	0.82	-5.75	133	0.82	500	0.85	100	6-Mar-19	10:51 AM	Wednesday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	1.06	0	0	1.02	"3,000"	1.05	"3,000"	6-Mar-19	10:51 AM	Wednesday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.615	0.615	0.615	0.615	-0.81	499	0.6	295	0.61	500	6-Mar-19	10:51 AM	Wednesday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0.005	100	0.02	100	6-Mar-19	10:51 AM	Wednesday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	-	-	-	0.005	0	0	0.005	"5,000"	0.02	100	6-Mar-19	10:51 AM	Wednesday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.01	"8,800"	0.03	100	6-Mar-19	10:51 AM	Wednesday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.065	0.07	0.065	0.07	0	"10,465"	0.065	"7,500"	0.07	488	6-Mar-19	10:51 AM	Wednesday
ASTRAL ASIA BHD	7054	-	-	-	0.145	0	0	0.145	605	0.155	410	6-Mar-19	10:51 AM	Wednesday
AIRASIA X BERHAD	5238	0.25	0.25	0.245	0.25	2.04	"5,141"	0.245	"51,737"	0.25	"40,950"	6-Mar-19	10:51 AM	Wednesday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0.005	"11,830"	6-Mar-19	10:51 AM	Wednesday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0.005	"5,000"	0.02	200	6-Mar-19	10:51 AM	Wednesday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	-	-	-	0.055	0	0	0.05	"42,074"	0.055	"12,032"	6-Mar-19	10:51 AM	Wednesday
ABF MALAYSIA BOND INDEX FUND	0800EA	-	-	-	1.167	0	0	1.167	13	1.168	"1,000"	6-Mar-19	10:51 AM	Wednesday
ABLEGROUP BERHAD	7086	-	-	-	0.07	0	0	0.07	"9,184"	0.075	"1,908"	6-Mar-19	10:51 AM	Wednesday
ALLIANCE BANK MALAYSIA BERHAD	2488	-	-	-	4.23	0	0	4.22	33	4.24	12	6-Mar-19	10:51 AM	Wednesday
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)	2488CX	-	-	-	0.005	0	0	0	0	0	0	6-Mar-19	7:11 PM	Wednesday
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)	2488CY	-	-	-	0.1	0	0	0.105	700	0.115	700	6-Mar-19	10:51 AM	Wednesday
ACME HOLDINGS BERHAD	7131	-	-	-	0.23	0	0	0.25	280	0.3	47	6-Mar-19	10:51 AM	Wednesday
ACOUSTECH BHD	7120	0.44	0.445	0.43	0.44	1.15	"7,867"	0.435	"1,156"	0.44	859	6-Mar-19	10:51 AM	Wednesday
ADVANCECON HOLDINGS BERHAD	5281	0.35	0.35	0.35	0.35	0	755	0.345	"1,070"	0.35	266	6-Mar-19	10:51 AM	Wednesday
ADVENTA BHD	7191	0.355	0.355	0.355	0.355	0	200	0.35	"12,365"	0.385	70	6-Mar-19	10:51 AM	Wednesday
ADVANCED PACKAGING TECHNOLOGY	9148	-	-	-	1.9	0	0	1.8	50	2	179	6-Mar-19	10:51 AM	Wednesday
AE MULTI HOLDINGS BHD	7146	0.115	0.115	0.115	0.115	-4.17	"1,307"	0.11	"2,768"	0.115	"1,780"	6-Mar-19	10:51 AM	Wednesday
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019	7146WA	-	-	-	0.005	0	0	0.005	"13,435"	0.01	"25,316"	6-Mar-19	10:51 AM	Wednesday
AEMULUS HOLDINGS BERHAD	181	0.245	0.25	0.245	0.245	0	"1,877"	0.245	"1,315"	0.25	"4,722"	6-Mar-19	10:51 AM	Wednesday
AEON CO. (M) BHD	6599	1.61	1.61	1.59	1.6	-0.62	"1,851"	1.6	994	1.61	479	6-Mar-19	10:51 AM	Wednesday
AEON-CN: CW AEON CO. (M) BERHAD (MIBB)	6599CN	-	-	-	0.015	0	0	0	0	0	0	6-Mar-19	7:11 PM	Wednesday
