Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.29	0.385	0.285	0.31	12.73	"35,452"	0.29	100	0.35	400	4-Mar-19	5:33 PM	Monday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	0.89	0.98	0.89	0.915	10.24	500	0	0	0	0	4-Mar-19	5:33 PM	Monday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.505	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.29	0.33	0.29	0.295	3.51	"9,757"	0.295	100	0.37	170	4-Mar-19	5:33 PM	Monday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.405	0.485	0.4	0.42	7.69	"184,348"	0.42	166	0.45	400	4-Mar-19	5:33 PM	Monday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	0.83	0.94	0.83	0.94	16.05	123	0.8	150	0.98	1	4-Mar-19	5:33 PM	Monday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	0.915	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.605	0.675	0.605	0.61	3.39	"15,019"	0.6	100	0	0	4-Mar-19	5:33 PM	Monday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	-	-	-	0.005	0	0	0	0	0.065	56	4-Mar-19	5:33 PM	Monday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.01	200	0	0	4-Mar-19	5:33 PM	Monday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.075	0.075	0.045	0.065	-13.33	"39,193"	0.065	71	0.09	235	4-Mar-19	5:33 PM	Monday
ASTRAL ASIA BHD	7054	-	-	-	0.145	0	0	0.145	605	0.155	410	4-Mar-19	5:33 PM	Monday
AIRASIA X BERHAD	5238	0.255	0.255	0.245	0.25	-1.96	"74,981"	0.245	"74,493"	0.25	"32,326"	4-Mar-19	5:33 PM	Monday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0.005	"11,500"	4-Mar-19	5:33 PM	Monday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	0.055	0.055	0.05	0.055	0	"17,724"	0.05	"39,342"	0.055	"3,232"	4-Mar-19	5:33 PM	Monday
ABF MALAYSIA BOND INDEX FUND	0800EA	-	-	-	1.167	0	0	1.167	13	1.168	"1,000"	4-Mar-19	5:33 PM	Monday
ABLEGROUP BERHAD	7086	-	-	-	0.07	0	0	0.07	"8,549"	0.075	"1,843"	4-Mar-19	5:33 PM	Monday
ALLIANCE BANK MALAYSIA BERHAD	2488	4.15	4.26	4.15	4.2	0	"7,500"	4.19	30	4.2	"3,341"	4-Mar-19	5:33 PM	Monday
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)	2488CX	-	-	-	0.005	0	0	0	0	0	0	4-Mar-19	7:11 PM	Monday
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)	2488CY	-	-	-	0.1	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
ACME HOLDINGS BERHAD	7131	-	-	-	0.23	0	0	0.25	280	0.3	47	4-Mar-19	5:33 PM	Monday
ACOUSTECH BHD	7120	0.435	0.445	0.43	0.44	2.33	"19,560"	0.43	278	0.435	27	4-Mar-19	5:33 PM	Monday
ADVANCECON HOLDINGS BERHAD	5281	0.35	0.355	0.34	0.345	1.47	"8,270"	0.345	354	0.35	"1,250"	4-Mar-19	5:33 PM	Monday
ADVENTA BHD	7191	0.37	0.37	0.36	0.36	-2.7	222	0.355	250	0.36	8	4-Mar-19	5:33 PM	Monday
ADVANCED PACKAGING TECHNOLOGY	9148	-	-	-	1.9	0	0	1.8	50	2	179	4-Mar-19	5:33 PM	Monday
AE MULTI HOLDINGS BHD	7146	-	-	-	0.12	0	0	0.12	1	0.125	90	4-Mar-19	5:33 PM	Monday
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019	7146WA	-	-	-	0.005	0	0	0.005	"31,000"	0.01	"25,816"	4-Mar-19	5:33 PM	Monday
AEMULUS HOLDINGS BERHAD	181	0.245	0.25	0.24	0.25	2.04	"18,022"	0.245	"2,210"	0.25	"4,363"	4-Mar-19	5:33 PM	Monday
AEON CO. (M) BHD	6599	1.6	1.64	1.59	1.62	1.25	"9,141"	1.61	328	1.62	754	4-Mar-19	5:33 PM	Monday
AEON-CN: CW AEON CO. (M) BERHAD (MIBB)	6599CN	-	-	-	0.015	0	0	0	0	0	0	4-Mar-19	7:11 PM	Monday
AEON-CO: CW AEON CO. (M) BERHAD (CIMB)	6599CO	0.055	0.06	0.055	0.06	9.09	"1,814"	0.06	74	0.065	400	4-Mar-19	5:33 PM	Monday
AEON-CP: CW AEON CO (M) BERHAD (RHB)	6599CP	-	-	-	0.05	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB)	6599CQ	-	-	-	0.03	0	0	0	0	0.04	500	4-Mar-19	5:33 PM	Monday
AEON CREDIT SERVICE (M) BHD	5139	17	17.18	16.8	16.8	0.6	"2,744"	16.8	20	17.06	10	4-Mar-19	5:33 PM	Monday
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020	5139LA	-	-	-	1.5	0	0	1.5	160	1.6	66	4-Mar-19	5:33 PM	Monday
AFFIN BANK BERHAD	5185	2.28	2.3	2.27	2.3	0.88	"1,353"	2.27	253	2.3	14	4-Mar-19	5:33 PM	Monday
ABM FUJIYA BERHAD	5198	0.535	0.54	0.535	0.535	7	30	0.505	150	0.525	17	4-Mar-19	5:33 PM	Monday
AHB HOLDINGS BHD	7315	0.13	0.135	0.13	0.135	0	980	0.13	"2,550"	0.135	"1,134"	4-Mar-19	5:33 PM	Monday
AHB HOLDINGS BERHAD - WARRANTS B 2014/2019	7315WB	0.005	0.005	0.005	0.005	0	"1,175"	0	0	0.005	359	4-Mar-19	5:33 PM	Monday
APEX HEALTHCARE BHD	7090	9.58	9.83	9.58	9.79	2.19	751	9.79	15	9.8	136	4-Mar-19	5:33 PM	Monday
AMANAH HARTA TANAH PNB	4952	0.77	0.77	0.77	0.77	1.32	22	0.76	11	0.77	202	4-Mar-19	5:33 PM	Monday
ADVANCE INFORMATION MARKETING	122	-	-	-	0.28	0	0	0.245	150	0.4	"2,000"	4-Mar-19	5:33 PM	Monday
AIRASIA GROUP BERHAD	5099	2.75	2.84	2.75	2.81	2.55	"146,086"	2.81	"1,879"	2.82	"1,317"	4-Mar-19	5:33 PM	Monday
AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ)	509959	-	-	-	0.025	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AIRASIAC65: CW AIRASIA GROUP BERHAD (CIMB)	509965	-	-	-	0.005	0	0	0	0	0	0	4-Mar-19	7:11 PM	Monday
AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB)	509967	0.115	0.12	0.115	0.115	15	"5,216"	0.115	721	0.13	600	4-Mar-19	5:33 PM	Monday
AIRASIAC68: CW AIRASIA GROUP BERHAD (MACQ)	509968	-	-	-	0.01	0	0	0.005	500	0.02	"1,000"	4-Mar-19	5:33 PM	Monday
AIRASIAC69: CW AIRASIA GROUP BERHAD (MACQ)	509969	0.04	0.04	0.04	0.04	14.29	200	0	0	0.04	300	4-Mar-19	5:33 PM	Monday
AIRASIAC70: CW AIRASIA GROUP BERHAD (AM)	509970	0.02	0.025	0.02	0.02	0	"17,850"	0.015	"4,000"	0.025	"6,650"	4-Mar-19	5:33 PM	Monday
AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB)	509971	0.085	0.095	0.085	0.09	5.88	"16,279"	0.085	"2,248"	0.09	869	4-Mar-19	5:33 PM	Monday
AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ)	509972	0.18	0.185	0.18	0.185	5.71	"6,330"	0	0	0.185	495	4-Mar-19	5:33 PM	Monday
AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB)	509973	0.2	0.205	0.2	0.205	10.81	"3,790"	0.185	900	0.205	"1,000"	4-Mar-19	5:33 PM	Monday
AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ)	509974	-	-	-	0.28	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AIRASIAC75: CW AIRASIA GROUP BERHAD (AM)	509975	0.125	0.13	0.125	0.13	8.33	400	0.125	"1,000"	0	0	4-Mar-19	5:33 PM	Monday
AIRASIAC76: CW AIRASIA GROUP BERHAD (MIBB)	509976	0.075	0.075	0.075	0.075	7.14	400	0	0	0	0	4-Mar-19	5:33 PM	Monday
AIRASIAC77: CW AIRASIA GROUP BERHAD (MACQ)	509977	0.075	0.08	0.075	0.075	0	"33,762"	0.075	"26,300"	0.08	"3,659"	4-Mar-19	5:33 PM	Monday
MALAYSIA AIRPORTS HOLDINGS BHD	5014	7.98	8.04	7.9	8.03	-1.11	"34,122"	7.98	"1,128"	8.03	"2,650"	4-Mar-19	5:33 PM	Monday
AIRPORT-C2: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB)	5014C2	-	-	-	0.025	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AIRPORT-C3: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (AM)	5014C3	-	-	-	0.035	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AIRPORT-C4: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (CIMB)	5014C4	0.06	0.06	0.05	0.05	-28.57	"1,054"	0.05	198	0.12	300	4-Mar-19	5:33 PM	Monday
AIRPORT-C5: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (MACQ)	5014C5	0.07	0.075	0.07	0.075	-6.25	"5,400"	0	0	0	0	4-Mar-19	5:33 PM	Monday
AIRPORT-C6: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB)	5014C6	-	-	-	0.16	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AIRPORT-C7: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (KIBB)	5014C7	0.105	0.105	0.105	0.105	-12.5	"1,000"	0	0	0.175	400	4-Mar-19	5:33 PM	Monday
AMALGAMATED INDUSTRIAL STEEL	2682	0.26	0.26	0.26	0.26	0	45	0.26	212	0.295	252	4-Mar-19	5:33 PM	Monday
AJINOMOTO (M) BHD	2658	18.6	18.68	18.5	18.62	0.11	65	18.62	3	18.68	7	4-Mar-19	5:33 PM	Monday
AJIYA BHD	7609	0.525	0.54	0.525	0.525	0	62	0.52	70	0.54	49	4-Mar-19	5:33 PM	Monday
AJIYA BERHAD - WARRANTS 2016/2021	7609WA	0.085	0.105	0.085	0.105	10.53	328	0.09	821	0.105	549	4-Mar-19	5:33 PM	Monday
ALAM MARITIM RESOURCES BHD	5115	0.095	0.1	0.095	0.1	5.26	"80,823"	0.1	"3,926"	0.105	"12,993"	4-Mar-19	5:33 PM	Monday
AL-AQAR HEALTHCARE REIT	5116	1.37	1.37	1.35	1.35	-1.46	69	1.35	498	1.36	30	4-Mar-19	5:33 PM	Monday
ALCOM GROUP BERHAD	2674	0.49	0.535	0.49	0.535	9.18	"1,670"	0.505	100	0.54	270	4-Mar-19	5:33 PM	Monday
ALLIANZ MALAYSIA BHD	1163	14.28	14.38	14.28	14.3	0	834	14.28	1	14.3	45	4-Mar-19	5:33 PM	Monday
ALLIANZ MALAYSIA BHD-ICPS	1163PA	-	-	-	14.3	0	0	14	110	0	0	4-Mar-19	5:33 PM	Monday
AL-SALAM REAL ESTATE INVESTMENT TRUST	5269	0.805	0.81	0.805	0.805	0	35	0.805	166	0.815	5	4-Mar-19	5:33 PM	Monday
AMMB HOLDINGS BHD	1015	4.44	4.54	4.44	4.5	0	"41,529"	4.5	"5,134"	4.51	100	4-Mar-19	5:33 PM	Monday
AMBANK-C10: CW AMMB HOLDINGS BERHAD (CIMB)	101510	-	-	-	0.19	0	0	0	0	0.3	30	4-Mar-19	5:33 PM	Monday
AMBANK-C11: CW AMMB HOLDINGS BERHAD (MIBB)	101511	-	-	-	0.18	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AMBANK-C12: CW AMMB HOLDINGS BERHAD (RHB)	101512	-	-	-	0.15	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AMBANK-C13: CW AMMB HOLDINGS BERHAD (MACQ)	101513	0.095	0.1	0.095	0.095	0	822	0	0	0.155	5	4-Mar-19	5:33 PM	Monday
ASIA MEDIA GROUP BERHAD	159	0.165	0.165	0.155	0.155	-6.06	"1,883"	0.155	"4,158"	0.16	801	4-Mar-19	5:33 PM	Monday
AMFIRST REITS	5120	0.53	0.53	0.53	0.53	0	100	0.53	633	0.535	350	4-Mar-19	5:33 PM	Monday
AMLEX HOLDINGS BERHAD	3011	-	-	-	0.18	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
AMCORP PROPERTIES BERHAD	1007	0.525	0.525	0.525	0.525	0	602	0.525	172	0.535	400	4-Mar-19	5:33 PM	Monday
AMCORP PROPERTIES BERHAD - PREFERENCE SHARES A	1007PA	0.25	0.25	0.25	0.25	0	33	0.25	304	0.27	26	4-Mar-19	5:33 PM	Monday
AMCORP PROPERTIES BERHAD - PREFERENCE SHARES B	1007PB	-	-	-	0.58	0	0	0.44	100	0.62	12	4-Mar-19	5:33 PM	Monday
AMTEK HOLDINGS BHD	7051	-	-	-	0.275	0	0	0.27	"1,000"	0.35	100	4-Mar-19	5:33 PM	Monday
AMTEL HOLDINGS BHD	7031	-	-	-	0.655	0	0	0.655	200	0.795	3	4-Mar-19	5:33 PM	Monday
AMVERTON BERHAD	5959	1	1	1	1	0	400	0.94	60	1.03	10	4-Mar-19	5:33 PM	Monday
AMWAY (M) HOLDINGS BHD	6351	6.25	6.25	6.14	6.15	0	448	6.14	6	6.15	592	4-Mar-19	5:33 PM	Monday
ANALABS RESOURCES BHD	7083	-	-	-	1.2	0	0	1.11	30	1.27	120	4-Mar-19	5:33 PM	Monday
ANCOM BHD	4758	0.49	0.495	0.485	0.485	1.04	786	0.485	114	0.5	360	4-Mar-19	5:33 PM	Monday
ANCOM LOGISTICS BERHAD	48	-	-	-	0.085	0	0	0.08	"1,500"	0.085	"3,469"	4-Mar-19	5:33 PM	Monday
ANN JOO RESOURCES BHD	6556	1.51	1.54	1.47	1.51	-0.66	"7,730"	1.5	620	1.51	129	4-Mar-19	5:33 PM	Monday
ANN JOO RESOURCES BERHAD-REDEEMABLE CONVERTIBLE CUMULATIVE PREFERENCE SHARES 2016/2024	6556PA	-	-	-	0.5	0	0	0.44	150	0.5	130	4-Mar-19	5:33 PM	Monday
ANZO HOLDINGS BERHAD	9342	0.035	0.04	0.035	0.04	0	"4,380"	0.035	"202,016"	0.04	"70,670"	4-Mar-19	5:33 PM	Monday
ANZO HOLDINGS BERHAD-WARRANTS 2009/2019	9342WA	-	-	-	0.005	0	0	0	0	0.005	"39,980"	4-Mar-19	5:33 PM	Monday
ANZO HOLDINGS BERHAD-WARRANTS 2013/2023	9342WB	-	-	-	0.025	0	0	0.01	"26,800"	0.025	700	4-Mar-19	5:33 PM	Monday
ANZO HOLDINGS BERHAD - WARRANTS 2017/2020	9342WC	-	-	-	0.005	0	0	0	0	0.005	"30,277"	4-Mar-19	5:33 PM	Monday
APB RESOURCES BHD	5568	0.79	0.79	0.79	0.79	1.28	30	0.74	50	0.79	27	4-Mar-19	5:33 PM	Monday
APEX EQUITY HOLDINGS BHD	5088	1	1	1	1	0	50	0.99	50	1.01	100	4-Mar-19	5:33 PM	Monday
APFT BERHAD	5194	0.015	0.015	0.015	0.015	0	"1,150"	0.015	"327,695"	0.02	"142,434"	4-Mar-19	5:33 PM	Monday
APM AUTOMOTIVE HOLDINGS BHD	5015	3	3	3	3	0	13	3	47	3.1	44	4-Mar-19	5:33 PM	Monday
APOLLO FOOD HOLDINGS BHD	6432	3.86	3.86	3.83	3.85	0.52	147	3.84	10	3.85	30	4-Mar-19	5:33 PM	Monday
APPASIA BERHAD	119	0.09	0.09	0.09	0.09	0	"1,954"	0.09	"2,766"	0.095	"3,134"	4-Mar-19	5:33 PM	Monday
APPASIA BERHAD - WARRANTS A	0119WA	0.035	0.045	0.035	0.04	0	"3,972"	0.035	"3,500"	0.04	"1,422"	4-Mar-19	5:33 PM	Monday
A-RANK BHD	7214	0.525	0.53	0.52	0.52	-1.89	472	0.52	89	0.54	300	4-Mar-19	5:33 PM	Monday
ARK RESOURCES HOLDINGS BERHAD	7007	0.5	0.5	0.46	0.495	10	150	0.45	20	0.495	10	4-Mar-19	5:33 PM	Monday
ARK RESOURCES HOLDINGS BERHAD - WARRANTS B 2011/2021	7007WB	-	-	-	0.09	0	0	0.02	"2,059"	0.39	1	4-Mar-19	5:33 PM	Monday
BUMI ARMADA BERHAD	5210	0.175	0.19	0.17	0.175	0	"1,125,234"	0.175	"130,326"	0.18	"109,474"	4-Mar-19	5:33 PM	Monday
ARMADA-C40: CW BUMI ARMADA BERHAD (CIMB)	521040	-	-	-	0.005	0	0	0	0	0.005	"13,581"	4-Mar-19	5:33 PM	Monday
ARMADA-C42: CW BUMI ARMADA BERHAD (RHB)	521042	-	-	-	0.005	0	0	0	0	0	0	4-Mar-19	7:11 PM	Monday
ARMADA-C43: CW BUMI ARMADA BERHAD (MIBB)	521043	-	-	-	0.005	0	0	0	0	0.005	"36,215"	4-Mar-19	5:33 PM	Monday
ARMADA-C44: CW BUMI ARMADA BERHAD (AM)	521044	-	-	-	0.005	0	0	0	0	0	0	4-Mar-19	7:11 PM	Monday
ARMADA-C45: CW BUMI ARMADA BERHAD (KIBB)	521045	-	-	-	0.005	0	0	0	0	0.005	"51,357"	4-Mar-19	5:33 PM	Monday
ARMADA-C46: CW BUMI ARMADA BERHAD (MIBB)	521046	-	-	-	0.005	0	0	0	0	0.005	"23,140"	4-Mar-19	5:33 PM	Monday
ARMADA-C47: CW BUMI ARMADA BERHAD (MACQ)	521047	-	-	-	0.005	0	0	0	0	0	0	4-Mar-19	5:33 PM	Monday
ARMADA-C48: CW BUMI ARMADA BERHAD (RHB)	521048	-	-	-	0.005	0	0	0	0	0.005	"2,600"	4-Mar-19	5:33 PM	Monday
ARMADA-C49: CW BUMI ARMADA BERHAD (KIBB)	521049	-	-	-	0.01	0	0	0.005	"20,088"	0.01	"14,999"	4-Mar-19	5:33 PM	Monday
ARMADA-C50: CW BUMI ARMADA BERHAD (MACQ)	521050	0.015	0.015	0.015	0.015	50	"1,000"	0.01	"30,000"	0.045	750	4-Mar-19	5:33 PM	Monday
AMANAHRAYA REITS	5127	0.85	0.855	0.84	0.85	1.19	"1,759"	0.845	75	0.85	51	4-Mar-19	5:33 PM	Monday
