Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.2	0.2	0.1	0.145	-34.09	646	0.14	952	0.15	100	8-Mar-19	9:36 AM	Friday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.795	0	0	0.645	"3,000"	0.68	100	8-Mar-19	9:36 AM	Friday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.505	0	0	0.425	"3,000"	0.44	"3,000"	8-Mar-19	9:36 AM	Friday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.215	0.215	0.215	0.215	-15.69	100	0.215	"1,924"	0.22	"2,000"	8-Mar-19	9:36 AM	Friday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.28	0.285	0.275	0.285	-14.93	"4,728"	0.28	"3,100"	0.29	"3,000"	8-Mar-19	9:36 AM	Friday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.78	0	0	0.645	500	0.68	100	8-Mar-19	9:36 AM	Friday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	0.97	0	0	0.865	"3,000"	0.89	"3,000"	8-Mar-19	9:36 AM	Friday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	-	-	-	0.55	0	0	0.48	500	0.49	500	8-Mar-19	9:36 AM	Friday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0.005	100	0.02	100	8-Mar-19	9:36 AM	Friday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	-	-	-	0.005	0	0	0.005	"5,000"	0.02	100	8-Mar-19	9:36 AM	Friday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.015	"8,000"	0.035	100	8-Mar-19	9:36 AM	Friday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.09	0.105	0.09	0.105	31.25	945	0.1	300	0.105	"1,310"	8-Mar-19	9:36 AM	Friday
ASTRAL ASIA BHD	7054	-	-	-	0.145	0	0	0.145	855	0.2	169	8-Mar-19	9:36 AM	Friday
AIRASIA X BERHAD	5238	0.25	0.255	0.25	0.25	0	"2,138"	0.25	"38,928"	0.255	"40,857"	8-Mar-19	9:36 AM	Friday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0.005	"11,830"	8-Mar-19	9:36 AM	Friday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0.005	"5,000"	0.02	200	8-Mar-19	9:36 AM	Friday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	-	-	-	0.055	0	0	0.05	"34,624"	0.055	"11,605"	8-Mar-19	9:36 AM	Friday
ABF MALAYSIA BOND INDEX FUND	0800EA	-	-	-	1.167	0	0	1.167	13	0	0	8-Mar-19	9:36 AM	Friday
ABLEGROUP BERHAD	7086	-	-	-	0.07	0	0	0.07	"5,083"	0.075	"5,259"	8-Mar-19	9:36 AM	Friday
ALLIANCE BANK MALAYSIA BERHAD	2488	-	-	-	4.22	0	0	4.21	40	4.22	23	8-Mar-19	9:36 AM	Friday
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)	2488CX	-	-	-	0.005	0	0	0	0	0	0	8-Mar-19	7:11 PM	Friday
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)	2488CY	-	-	-	0.1	0	0	0.1	700	0.11	700	8-Mar-19	9:36 AM	Friday
ACME HOLDINGS BERHAD	7131	-	-	-	0.25	0	0	0.25	60	0.3	47	8-Mar-19	9:36 AM	Friday
ACOUSTECH BHD	7120	0.455	0.46	0.45	0.455	0	"4,638"	0.455	42	0.46	"1,255"	8-Mar-19	9:36 AM	Friday
ADVANCECON HOLDINGS BERHAD	5281	0.385	0.395	0.385	0.39	4	"16,141"	0.385	"1,758"	0.39	"1,269"	8-Mar-19	9:36 AM	Friday
ADVENTA BHD	7191	-	-	-	0.385	0	0	0.35	"12,365"	0.385	99	8-Mar-19	9:36 AM	Friday
ADVANCED PACKAGING TECHNOLOGY	9148	-	-	-	1.9	0	0	1.82	20	2	179	8-Mar-19	9:36 AM	Friday
AE MULTI HOLDINGS BHD	7146	-	-	-	0.11	0	0	0.11	"3,188"	0.115	500	8-Mar-19	9:36 AM	Friday
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019	7146WA	-	-	-	0.005	0	0	0.005	"12,435"	0.01	"22,282"	8-Mar-19	9:36 AM	Friday
AEMULUS HOLDINGS BERHAD	181	0.255	0.255	0.255	0.255	0	500	0.255	"1,760"	0.26	"1,100"	8-Mar-19	9:36 AM	Friday
AEON CO. (M) BHD	6599	1.6	1.61	1.59	1.61	0.62	921	1.6	483	1.61	668	8-Mar-19	9:36 AM	Friday
AEON-CN: CW AEON CO. (M) BERHAD (MIBB)	6599CN	-	-	-	0.015	0	0	0	0	0	0	8-Mar-19	7:11 PM	Friday
AEON-CO: CW AEON CO. (M) BERHAD (CIMB)	6599CO	-	-	-	0.055	0	0	0.05	"1,000"	0.06	"4,200"	8-Mar-19	9:36 AM	Friday
AEON-CP: CW AEON CO (M) BERHAD (RHB)	6599CP	-	-	-	0.05	0	0	0.055	"1,400"	0.06	"2,000"	8-Mar-19	9:36 AM	Friday
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB)	6599CQ	-	-	-	0.03	0	0	0.03	"2,000"	0.035	"2,000"	8-Mar-19	9:36 AM	Friday
AEON CREDIT SERVICE (M) BHD	5139	17.1	17.1	16.98	17	-1.16	24	17	41	17.02	9	8-Mar-19	9:36 AM	Friday
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020	5139LA	-	-	-	1.62	0	0	1.37	300	1.6	690	8-Mar-19	9:36 AM	Friday
AFFIN BANK BERHAD	5185	-	-	-	2.28	0	0	2.28	160	2.3	86	8-Mar-19	9:36 AM	Friday
ABM FUJIYA BERHAD	5198	-	-	-	0.54	0	0	0.505	50	0.55	250	8-Mar-19	9:36 AM	Friday
AHB HOLDINGS BHD	7315	-	-	-	0.14	0	0	0.13	"2,019"	0.14	"1,033"	8-Mar-19	9:36 AM	Friday
AHB HOLDINGS BERHAD - WARRANTS B 2014/2019	7315WB	-	-	-	0.005	0	0	0.005	"17,162"	0.01	"18,526"	8-Mar-19	9:36 AM	Friday
APEX HEALTHCARE BHD	7090	-	-	-	9.59	0	0	9.4	3	9.63	21	8-Mar-19	9:36 AM	Friday
AMANAH HARTA TANAH PNB	4952	-	-	-	0.75	0	0	0.735	60	0.77	47	8-Mar-19	9:36 AM	Friday
ADVANCE INFORMATION MARKETING	122	-	-	-	0.28	0	0	0.245	200	0.4	"2,000"	8-Mar-19	9:36 AM	Friday
AIRASIA GROUP BERHAD	5099	2.84	2.86	2.83	2.86	1.06	"4,282"	2.85	"2,127"	2.86	"2,543"	8-Mar-19	9:36 AM	Friday
AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ)	509959	-	-	-	0.025	0	0	0.005	"10,000"	0.02	200	8-Mar-19	9:36 AM	Friday
AIRASIAC65: CW AIRASIA GROUP BERHAD (CIMB)	509965	-	-	-	0.005	0	0	0	0	0	0	8-Mar-19	7:11 PM	Friday
AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB)	509967	-	-	-	0.095	0	0	0.095	500	0.105	600	8-Mar-19	9:36 AM	Friday
AIRASIAC68: CW AIRASIA GROUP BERHAD (MACQ)	509968	-	-	-	0.005	0	0	0.005	"10,940"	0.01	"1,500"	8-Mar-19	9:36 AM	Friday
AIRASIAC69: CW AIRASIA GROUP BERHAD (MACQ)	509969	0.035	0.035	0.035	0.035	16.67	"1,000"	0.035	"10,000"	0.04	100	8-Mar-19	9:36 AM	Friday
AIRASIAC70: CW AIRASIA GROUP BERHAD (AM)	509970	-	-	-	0.02	0	0	0.02	"3,000"	0.025	"3,600"	8-Mar-19	9:36 AM	Friday
AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB)	509971	-	-	-	0.09	0	0	0.08	"4,105"	0.09	"5,430"	8-Mar-19	9:36 AM	Friday
AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ)	509972	-	-	-	0.19	0	0	0.19	"5,000"	0.195	"5,000"	8-Mar-19	9:36 AM	Friday
AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB)	509973	-	-	-	0.21	0	0	0.21	"9,000"	0.215	"4,000"	8-Mar-19	9:36 AM	Friday
AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ)	509974	-	-	-	0.28	0	0	0.305	"4,400"	0.33	100	8-Mar-19	9:36 AM	Friday
