Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.2	0.2	0.2	0.2	-4.76	500	0.205	"1,000"	0.215	500	28-Feb-19	9:51 AM	Thursday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.735	0	0	0.715	"3,000"	0.75	100	28-Feb-19	9:51 AM	Thursday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.495	0	0	0.46	"3,000"	0.47	"3,000"	28-Feb-19	9:51 AM	Thursday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.25	0.25	0.245	0.245	0	"1,694"	0.245	40	0.25	200	28-Feb-19	9:51 AM	Thursday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.33	0.335	0.32	0.32	-3.03	"69,160"	0.325	"3,000"	0.33	"3,000"	28-Feb-19	9:51 AM	Thursday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.725	0	0	0.705	500	0.74	100	28-Feb-19	9:51 AM	Thursday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	0.915	0	0	0.91	"3,000"	0.935	"3,000"	28-Feb-19	9:51 AM	Thursday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.53	0.53	0.515	0.525	0	"4,190"	0.52	108	0.53	90	28-Feb-19	9:51 AM	Thursday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0.005	100	0.02	100	28-Feb-19	9:51 AM	Thursday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	-	-	-	0.01	0	0	0.005	"5,000"	0.01	85	28-Feb-19	9:51 AM	Thursday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.015	"8,000"	0.035	100	28-Feb-19	9:51 AM	Thursday
