Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.21	0.28	0.21	0.275	37.5	"16,679"	0.22	500	0.275	10	1-Mar-19	5:47 PM	Friday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	0.8	0.83	0.8	0.83	12.93	400	0	0	0	0	1-Mar-19	5:47 PM	Friday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	0.465	0.505	0.465	0.505	9.78	"1,001"	0	0	0	0	1-Mar-19	5:47 PM	Friday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.25	0.285	0.245	0.285	18.75	"9,074"	0	0	0	0	1-Mar-19	5:47 PM	Friday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.335	0.39	0.33	0.39	23.81	"240,519"	0.37	200	0.39	50	1-Mar-19	5:47 PM	Friday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	0.795	0.81	0.795	0.81	11.72	6	0	0	0.815	1	1-Mar-19	5:47 PM	Friday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	0.915	0	0	1	50	0	0	1-Mar-19	5:47 PM	Friday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.53	0.59	0.525	0.59	14.56	"21,766"	0.585	100	0	0	1-Mar-19	5:47 PM	Friday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0	0	0	0	1-Mar-19	5:47 PM	Friday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	0.005	0.005	0.005	0.005	-50	85	0	0	0.02	200	1-Mar-19	5:47 PM	Friday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.01	200	0	0	1-Mar-19	5:47 PM	Friday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.09	0.09	0.07	0.075	-21.05	"14,959"	0.075	200	0.08	500	1-Mar-19	5:47 PM	Friday
ASTRAL ASIA BHD	7054	0.145	0.145	0.145	0.145	0	255	0.145	350	0.155	410	1-Mar-19	5:47 PM	Friday
AIRASIA X BERHAD	5238	0.25	0.255	0.24	0.255	2	"106,742"	0.25	"50,309"	0.255	"26,405"	1-Mar-19	5:47 PM	Friday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0.005	"11,500"	1-Mar-19	5:47 PM	Friday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0	0	0	0	1-Mar-19	5:47 PM	Friday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	0.055	0.055	0.05	0.055	0	"3,421"	0.05	"42,173"	0.055	"7,314"	1-Mar-19	5:47 PM	Friday
ABF MALAYSIA BOND INDEX FUND	0800EA	-	-	-	1.167	0	0	1.163	"1,000"	1.168	"1,000"	1-Mar-19	5:47 PM	Friday
ABLEGROUP BERHAD	7086	0.07	0.07	0.07	0.07	0	201	0.07	"9,549"	0.075	"1,707"	1-Mar-19	5:47 PM	Friday
ALLIANCE BANK MALAYSIA BERHAD	2488	4.05	4.26	4.05	4.2	6.06	"34,998"	4.2	168	4.23	187	1-Mar-19	5:47 PM	Friday
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)	2488CX	-	-	-	0.005	0	0	0	0	0	0	1-Mar-19	7:11 PM	Friday
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)	2488CY	-	-	-	0.1	0	0	0	0	0	0	1-Mar-19	5:47 PM	Friday
ACME HOLDINGS BERHAD	7131	-	-	-	0.23	0	0	0.25	280	0.3	47	1-Mar-19	5:47 PM	Friday
ACOUSTECH BHD	7120	0.42	0.445	0.41	0.43	-1.15	"18,847"	0.43	13	0.435	100	1-Mar-19	5:47 PM	Friday
ADVANCECON HOLDINGS BERHAD	5281	0.33	0.36	0.32	0.34	1.49	"10,215"	0.34	115	0.345	837	1-Mar-19	5:47 PM	Friday
ADVENTA BHD	7191	0.37	0.37	0.37	0.37	1.37	270	0.355	350	0.4	10	1-Mar-19	5:47 PM	Friday
ADVANCED PACKAGING TECHNOLOGY	9148	1.9	1.9	1.9	1.9	-1.04	100	1.85	100	2	179	1-Mar-19	5:47 PM	Friday
AE MULTI HOLDINGS BHD	7146	0.115	0.12	0.115	0.12	0	60	0.12	20	0.125	690	1-Mar-19	5:47 PM	Friday
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019	7146WA	0.005	0.005	0.005	0.005	-50	"10,000"	0.005	"39,200"	0.01	"26,816"	1-Mar-19	5:47 PM	Friday
AEMULUS HOLDINGS BERHAD	181	0.245	0.25	0.24	0.245	0	"16,840"	0.245	"3,355"	0.25	"3,580"	1-Mar-19	5:47 PM	Friday
AEON CO. (M) BHD	6599	1.65	1.66	1.6	1.6	-3.03	"7,847"	1.6	"1,144"	1.61	"2,012"	1-Mar-19	5:47 PM	Friday
AEON-CN: CW AEON CO. (M) BERHAD (MIBB)	6599CN	-	-	-	0.015	0	0	0	0	0	0	1-Mar-19	7:11 PM	Friday
AEON-CO: CW AEON CO. (M) BERHAD (CIMB)	6599CO	0.065	0.065	0.055	0.055	-8.33	"8,265"	0.05	"3,000"	0.06	960	1-Mar-19	5:47 PM	Friday
AEON-CP: CW AEON CO (M) BERHAD (RHB)	6599CP	-	-	-	0.05	0	0	0	0	0	0	1-Mar-19	5:47 PM	Friday
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB)	6599CQ	0.035	0.035	0.03	0.03	-25	"1,520"	0	0	0.045	500	1-Mar-19	5:47 PM	Friday
AEON CREDIT SERVICE (M) BHD	5139	16.76	17.28	16.5	16.7	0.97	"1,144"	16.64	13	16.7	136	1-Mar-19	5:47 PM	Friday
