Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.12	0.145	0.12	0.14	55.56	"52,058"	0.14	"5,000"	0.145	"1,000"	25-Feb-19	11:37 AM	Monday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	0.645	0.645	0.645	0.645	29	100	0.645	"3,000"	0.665	100	25-Feb-19	11:37 AM	Monday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	0.41	0.44	0.41	0.43	13.16	"86,561"	0.43	505	0.435	"2,347"	25-Feb-19	11:37 AM	Monday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	-	-	-	0.185	0	0	0.225	"5,000"	0.23	"5,000"	25-Feb-19	11:37 AM	Monday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.255	0.28	0.255	0.28	21.74	"25,060"	0.275	"5,000"	0.28	"3,000"	25-Feb-19	11:37 AM	Monday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	0.59	0.625	0.59	0.615	23	"9,050"	0.625	"2,000"	0.635	"1,000"	25-Feb-19	11:37 AM	Monday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	0.855	0.86	0.855	0.86	10.26	150	0.86	"5,000"	0.88	"5,000"	25-Feb-19	11:37 AM	Monday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.475	0.49	0.46	0.485	15.48	"102,169"	0.48	190	0.485	640	25-Feb-19	11:37 AM	Monday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0.005	100	0.02	100	25-Feb-19	11:37 AM	Monday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	0.015	0.015	0.015	0.015	0	670	0.005	"10,000"	0.02	200	25-Feb-19	11:37 AM	Monday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.02	"8,000"	0.04	100	25-Feb-19	11:37 AM	Monday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.115	0.12	0.11	0.115	-14.81	"9,968"	0.105	"6,320"	0.11	"5,000"	25-Feb-19	11:37 AM	Monday
ASTRAL ASIA BHD	7054	-	-	-	0.145	0	0	0.145	"1,025"	0.155	410	25-Feb-19	11:37 AM	Monday
