Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.29	0.305	0.28	0.29	-6.45	"11,502"	0.285	"1,000"	0.295	500	5-Mar-19	10:36 AM	Tuesday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.915	0	0	0.87	"3,000"	0.905	100	5-Mar-19	10:36 AM	Tuesday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.505	0	0	0.525	"3,000"	0.54	"3,000"	5-Mar-19	10:36 AM	Tuesday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.295	0.305	0.29	0.29	-1.69	"3,760"	0.285	500	0.295	500	5-Mar-19	10:36 AM	Tuesday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.4	0.415	0.395	0.4	-4.76	"40,391"	0.395	"5,000"	0.405	"3,000"	5-Mar-19	10:36 AM	Tuesday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	0.95	0.95	0.95	0.95	1.06	1	0.825	500	0.86	100	5-Mar-19	10:36 AM	Tuesday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	1.06	1.06	1.06	1.06	15.85	20	1.02	"3,000"	1.06	"3,000"	5-Mar-19	10:36 AM	Tuesday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	-	-	-	0.61	0	0	0.605	500	0.62	500	5-Mar-19	10:36 AM	Tuesday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0.005	100	0.02	100	5-Mar-19	10:36 AM	Tuesday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	-	-	-	0.005	0	0	0.005	"5,000"	0.02	100	5-Mar-19	10:36 AM	Tuesday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.01	"8,200"	0.03	100	5-Mar-19	10:36 AM	Tuesday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.075	0.075	0.07	0.07	7.69	"5,520"	0.065	"7,765"	0.07	680	5-Mar-19	10:36 AM	Tuesday
ASTRAL ASIA BHD	7054	-	-	-	0.145	0	0	0.145	605	0.155	410	5-Mar-19	10:36 AM	Tuesday
AIRASIA X BERHAD	5238	0.245	0.25	0.245	0.25	0	"3,423"	0.245	"50,184"	0.25	"51,264"	5-Mar-19	10:36 AM	Tuesday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0.005	"11,830"	5-Mar-19	10:36 AM	Tuesday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0.005	"5,000"	0.02	200	5-Mar-19	10:36 AM	Tuesday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	0.05	0.05	0.05	0.05	-9.09	337	0.05	"40,756"	0.055	"9,432"	5-Mar-19	10:36 AM	Tuesday
ABF MALAYSIA BOND INDEX FUND	0800EA	-	-	-	1.167	0	0	1.167	13	1.168	"1,000"	5-Mar-19	10:36 AM	Tuesday
ABLEGROUP BERHAD	7086	-	-	-	0.07	0	0	0.07	"9,249"	0.075	"1,843"	5-Mar-19	10:36 AM	Tuesday
ALLIANCE BANK MALAYSIA BERHAD	2488	4.16	4.21	4.16	4.2	0	"1,223"	4.2	121	4.21	149	5-Mar-19	10:36 AM	Tuesday
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)	2488CX	-	-	-	0.005	0	0	0	0	0	0	5-Mar-19	7:11 PM	Tuesday
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)	2488CY	-	-	-	0.1	0	0	0.1	700	0.11	700	5-Mar-19	10:36 AM	Tuesday
ACME HOLDINGS BERHAD	7131	-	-	-	0.23	0	0	0.25	280	0.3	47	5-Mar-19	10:36 AM	Tuesday
ACOUSTECH BHD	7120	0.43	0.44	0.43	0.435	-1.14	"10,822"	0.43	"1,742"	0.435	313	5-Mar-19	10:36 AM	Tuesday
ADVANCECON HOLDINGS BERHAD	5281	0.345	0.345	0.345	0.345	0	540	0.345	165	0.35	426	5-Mar-19	10:36 AM	Tuesday
ADVENTA BHD	7191	0.36	0.36	0.36	0.36	0	6	0.355	250	0.36	44	5-Mar-19	10:36 AM	Tuesday
ADVANCED PACKAGING TECHNOLOGY	9148	-	-	-	1.9	0	0	1.8	50	2	179	5-Mar-19	10:36 AM	Tuesday
AE MULTI HOLDINGS BHD	7146	0.12	0.12	0.12	0.12	0	"1,300"	0.115	"1,497"	0.12	660	5-Mar-19	10:36 AM	Tuesday
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019	7146WA	0.005	0.005	0.005	0.005	0	935	0.005	"21,265"	0.01	"25,316"	5-Mar-19	10:36 AM	Tuesday
AEMULUS HOLDINGS BERHAD	181	0.25	0.25	0.245	0.245	-2	"1,099"	0.245	735	0.25	"5,270"	5-Mar-19	10:36 AM	Tuesday
AEON CO. (M) BHD	6599	1.63	1.65	1.6	1.62	0	"2,600"	1.61	254	1.62	280	5-Mar-19	10:36 AM	Tuesday
AEON-CN: CW AEON CO. (M) BERHAD (MIBB)	6599CN	-	-	-	0.015	0	0	0	0	0	0	5-Mar-19	7:11 PM	Tuesday
AEON-CO: CW AEON CO. (M) BERHAD (CIMB)	6599CO	-	-	-	0.06	0	0	0.05	"1,100"	0.06	81	5-Mar-19	10:36 AM	Tuesday
AEON-CP: CW AEON CO (M) BERHAD (RHB)	6599CP	-	-	-	0.05	0	0	0.055	700	0.06	800	5-Mar-19	10:36 AM	Tuesday
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB)	6599CQ	-	-	-	0.03	0	0	0.03	"1,200"	0.035	"1,400"	5-Mar-19	10:36 AM	Tuesday
AEON CREDIT SERVICE (M) BHD	5139	-	-	-	16.8	0	0	16.84	10	17.02	5	5-Mar-19	10:36 AM	Tuesday
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020	5139LA	1.5	1.5	1.5	1.5	0	300	1.5	610	1.6	60	5-Mar-19	10:36 AM	Tuesday
AFFIN BANK BERHAD	5185	2.31	2.32	2.27	2.31	0.43	33	2.29	51	2.31	20	5-Mar-19	10:36 AM	Tuesday
ABM FUJIYA BERHAD	5198	-	-	-	0.535	0	0	0.505	110	0.535	60	5-Mar-19	10:36 AM	Tuesday
AHB HOLDINGS BHD	7315	0.13	0.13	0.13	0.13	-3.7	838	0.125	"3,390"	0.13	200	5-Mar-19	10:36 AM	Tuesday
AHB HOLDINGS BERHAD - WARRANTS B 2014/2019	7315WB	0.005	0.005	0.005	0.005	0	"1,720"	0.005	280	0.01	"15,500"	5-Mar-19	10:36 AM	Tuesday
APEX HEALTHCARE BHD	7090	9.78	9.8	9.78	9.8	0.1	72	9.76	11	9.79	20	5-Mar-19	10:36 AM	Tuesday
AMANAH HARTA TANAH PNB	4952	-	-	-	0.77	0	0	0.76	10	0.77	122	5-Mar-19	10:36 AM	Tuesday
ADVANCE INFORMATION MARKETING	122	-	-	-	0.28	0	0	0.245	200	0.4	"2,000"	5-Mar-19	10:36 AM	Tuesday
AIRASIA GROUP BERHAD	5099	2.8	2.81	2.76	2.77	-1.42	"38,218"	2.77	630	2.78	"3,213"	5-Mar-19	10:36 AM	Tuesday
AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ)	509959	-	-	-	0.025	0	0	0.005	"10,000"	0.02	200	5-Mar-19	10:36 AM	Tuesday
AIRASIAC65: CW AIRASIA GROUP BERHAD (CIMB)	509965	-	-	-	0.005	0	0	0	0	0	0	5-Mar-19	7:11 PM	Tuesday
AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB)	509967	0.1	0.1	0.095	0.095	-17.39	"5,457"	0.085	"1,000"	0.095	"1,000"	5-Mar-19	10:36 AM	Tuesday
AIRASIAC68: CW AIRASIA GROUP BERHAD (MACQ)	509968	-	-	-	0.01	0	0	0.005	"11,440"	0.015	"1,000"	5-Mar-19	10:36 AM	Tuesday
AIRASIAC69: CW AIRASIA GROUP BERHAD (MACQ)	509969	-	-	-	0.04	0	0	0.03	"10,000"	0.035	100	5-Mar-19	10:36 AM	Tuesday
AIRASIAC70: CW AIRASIA GROUP BERHAD (AM)	509970	0.02	0.02	0.02	0.02	0	500	0.015	"3,000"	0.02	"4,500"	5-Mar-19	10:36 AM	Tuesday
AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB)	509971	0.085	0.085	0.08	0.08	-11.11	"8,851"	0.075	"5,210"	0.08	"2,000"	5-Mar-19	10:36 AM	Tuesday
AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ)	509972	0.175	0.18	0.175	0.175	-5.41	"2,645"	0.175	"2,000"	0.18	"5,380"	5-Mar-19	10:36 AM	Tuesday
AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB)	509973	0.195	0.195	0.19	0.19	-7.32	"5,600"	0.19	"1,000"	0.195	"2,000"	5-Mar-19	10:36 AM	Tuesday
AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ)	509974	-	-	-	0.28	0	0	0.285	"1,300"	0.31	100	5-Mar-19	10:36 AM	Tuesday
