Company	Stock_Code	Industry	Index
ANALABS RESOURCES BHD	7083	UNKNOWN	Others
ANCOM BHD	4758	UNKNOWN	Others
ANCOM LOGISTICS BERHAD	48	UNKNOWN	Others
ANN JOO RESOURCES BHD	6556	INDUSTRIAL PRODUCTS & SERVICES	Others
ANZO HOLDINGS BERHAD	9342	UNKNOWN	Others
APB RESOURCES BHD	5568	UNKNOWN	Others
APEX EQUITY HOLDINGS BHD	5088	FINANCIAL SERVICES	Others
APEX HEALTHCARE BHD	7090	HEALTH CARE	Others
APFT BERHAD	5194	UNKNOWN	Others
APM AUTOMOTIVE HOLDINGS BHD	5015	INDUSTRIAL PRODUCTS & SERVICES	Others
APOLLO FOOD HOLDINGS BHD	6432	CONSUMER PRODUCTS & SERVICES	Others
APPASIA BERHAD	119	UNKNOWN	Others
A-RANK BHD	7214	UNKNOWN	Others
ARK RESOURCES HOLDINGS BERHAD	7007	UNKNOWN	Others
ASDION BHD	68	UNKNOWN	Others
ASIA BRANDS BERHAD	7722	UNKNOWN	Others
ASIA FILE CORPORATION BHD	7129	CONSUMER PRODUCTS & SERVICES	Others
ASIA MEDIA GROUP BERHAD	159	UNKNOWN	Others
ASIA POLY HOLDINGS BHD	105	UNKNOWN	Others
ASIAN PAC HOLDINGS BHD	4057	UNKNOWN	Others
ASTINO BHD	7162	UNKNOWN	Others
ASTRAL ASIA BHD	7054	UNKNOWN	Others
ASTRO MALAYSIA HOLDINGS BERHAD	6399	UNKNOWN	Others
AT SYSTEMATIZATION BHD	72	UNKNOWN	Others
ATA IMS BERHAD	8176	INDUSTRIAL PRODUCTS & SERVICES	Others
ATLAN HOLDINGS BHD	7048	CONSUMER PRODUCTS & SERVICES	Others
ATRIUM REITS	5130	UNKNOWN	Others
ATTA GLOBAL GROUP BERHAD	7099	UNKNOWN	Others
ATURMAJU RESOURCES BHD	7181	UNKNOWN	Others
AVILLION BERHAD	8885	CONSUMER PRODUCTS & SERVICES	Others
AWC BERHAD	7579	UNKNOWN	Others
AXIS REITS	5106	UNKNOWN	Others
AYER HOLDINGS BERHAD	2305	PROPERTY	Others
AYS VENTURES BHD	5021	UNKNOWN	Others
B.I.G. INDUSTRIES BHD	7005	UNKNOWN	Others
BAHVEST RESOURCES BERHAD	98	CONSUMER PRODUCTS & SERVICES	Others
BARAKAH OFFSHORE PETROLEUM BHD	7251	UNKNOWN	Others
BATU KAWAN BHD	1899	UNKNOWN	Others
BCB BHD	6602	UNKNOWN	Others
BCM ALLIANCE BERHAD	187	UNKNOWN	Others
BENALEC HOLDINGS BERHAD	5190	UNKNOWN	Others
BERJAYA ASSETS BERHAD	3239	PROPERTY	Others
BERJAYA CORPORATION BHD	3395	INDUSTRIAL PRODUCTS & SERVICES	Others
BERJAYA FOOD BERHAD	5196	CONSUMER PRODUCTS & SERVICES	Others
BERJAYA LAND BHD	4219	CONSUMER PRODUCTS & SERVICES	Others
BERJAYA MEDIA BHD	6025	UNKNOWN	Others
BERJAYA SPORTS TOTO BHD	1562	UNKNOWN	Others
BERMAZ AUTO BERHAD	5248	UNKNOWN	Others
BERTAM ALLIANCE BHD	9814	UNKNOWN	Others
BIMB HOLDINGS BHD	5258	UNKNOWN	Others
BINA DARULAMAN BHD	6173	UNKNOWN	Others
BINA PURI HOLDINGS BHD	5932	UNKNOWN	Others
BINASAT COMMUNICATIONS BERHAD	195	UNKNOWN	Others
BINTAI KINDEN CORPORATION BHD	6998	UNKNOWN	Others
BINTULU PORT HOLDINGS BHD	5032	UNKNOWN	Others
BIO OSMO BHD	7243	UNKNOWN	Others
BIOALPHA HOLDINGS BERHAD	179	UNKNOWN	Others
BLD PLANTATION BHD	5069	PLANTATION	Others
BOILERMECH HOLDINGS BHD	168	INDUSTRIAL PRODUCTS & SERVICES	Others
BONIA CORPORATION BHD	9288	UNKNOWN	Others
BORNEO OIL BHD	7036	INDUSTRIAL PRODUCTS & SERVICES	Others
BOUSTEAD HEAVY INDUSTRIES CORP	8133	TRANSPORTATION & LOGISTICS	Others
BOUSTEAD HOLDINGS BHD	2771	UNKNOWN	Others
BOUSTEAD PLANTATIONS BHD	5254	PLANTATION	Others
BOX-PAK (MALAYSIA) BHD	6297	UNKNOWN	Others
BP PLASTICS HOLDING BHD	5100	UNKNOWN	Others
BRAHIMS HOLDINGS BERHAD	9474	UNKNOWN	Others
BREM HOLDINGS BHD	8761	CONSTRUCTION	Others
BRIGHT PACKAGING INDUSTRY BHD	9938	UNKNOWN	Others
BRITE-TECH BHD	11	UNKNOWN	Others
BRITISH AMERICAN TOBACCO (M)	4162	UNKNOWN	Others
BSL CORPORATION BERHAD	7221	UNKNOWN	Others
BTM RESOURCES BHD	7188	UNKNOWN	Others
BUMI ARMADA BERHAD	5210	ENERGY	Others
BURSA MALAYSIA BHD	1818	UNKNOWN	Others
