Company	Stock_Code	Industry	Index
KAMDAR GROUP(M)BHD	8672	UNKNOWN	Others
KANGER INTERNATIONAL BERHAD	170	UNKNOWN	Others
KARAMBUNAI CORP BHD	3115	PROPERTY	Others
KAREX BERHAD	5247	CONSUMER PRODUCTS & SERVICES	Others
KARYON INDUSTRIES BHD	54	UNKNOWN	Others
KAWAN FOOD BHD	7216	CONSUMER PRODUCTS & SERVICES	Others
KECK SENG (M) BHD	3476	INDUSTRIAL PRODUCTS & SERVICES	Others
KEIN HING INTERNATIONAL BHD	7199	UNKNOWN	Others
KEJURUTERAAN ASASTERA BERHAD	193	UNKNOWN	Others
KELINGTON GROUP BERHAD	151	INDUSTRIAL PRODUCTS & SERVICES	Others
KEN HOLDINGS BHD	7323	UNKNOWN	Others
KENANGA INVESTMENT BANK BERHAD	6483	FINANCIAL SERVICES	Others
KERJAYA PROSPEK GROUP BERHAD	7161	CONSTRUCTION	Others
KESM INDUSTRIES BHD	9334	TECHNOLOGY	Others
KEY ALLIANCE GROUP BERHAD	36	UNKNOWN	Others
KEY ASIC BHD	143	UNKNOWN	Others
KHEE SAN BHD	6203	UNKNOWN	Others
KHIND HOLDINGS BHD	7062	UNKNOWN	Others
KIA LIM BHD	6211	UNKNOWN	Others
KIAN JOO CAN FACTORY BHD	3522	INDUSTRIAL PRODUCTS & SERVICES	Others
KIM HIN INDUSTRY BHD	5371	UNKNOWN	Others
KIM LOONG RESOURCES BHD	5027	PLANTATION	Others
KIM TECK CHEONG CONSOLIDATED BERHAD	180	UNKNOWN	Others
KIMLUN CORPORATION BERHAD	5171	CONSTRUCTION	Others
KINSTEEL BHD	5060	UNKNOWN	Others
KIP REAL ESTATE INVESTMENT TRUST	5280	UNKNOWN	Others
KKB ENGINEERING BHD	9466	INDUSTRIAL PRODUCTS & SERVICES	Others
KLUANG RUBBER CO (M) BHD	2453	PLANTATION	Others
KNM GROUP BHD	7164	UNKNOWN	Others
KNUSFORD BHD	5035	UNKNOWN	Others
KOBAY TECHNOLOGY BHD	6971	UNKNOWN	Others
KOMARKCORP BHD	7017	UNKNOWN	Others
K-ONE TECHNOLOGY BHD	111	UNKNOWN	Others
KONSORTIUM TRANSNASIONAL BHD	4847	UNKNOWN	Others
KOSSAN RUBBER INDUSTRIES BHD	7153	UNKNOWN	Others
KOTRA INDUSTRIES BHD	2	HEALTH CARE	Others
KPJ HEALTHCARE BHD	5878	UNKNOWN	Others
KPS CONSORTIUM BHD	9121	UNKNOWN	Others
KRETAM HOLDINGS BHD	1996	PLANTATION	Others
KRONOLOGI ASIA BERHAD	176	TECHNOLOGY	Others
KSL HOLDINGS BHD	5038	PROPERTY	Others
K-STAR SPORTS LIMITED	5172	UNKNOWN	Others
KUANTAN FLOUR MILLS BHD	8303	UNKNOWN	Others
KUB MALAYSIA BHD	6874	UNKNOWN	Others
KUCHAI DEVELOPMENT BHD	2186	FINANCIAL SERVICES	Others
KUMPULAN FIMA BHD	6491	INDUSTRIAL PRODUCTS & SERVICES	Others
KUMPULAN H&L HIGH-TECH BHD	7033	UNKNOWN	Others
KUMPULAN JETSON BHD	9083	UNKNOWN	Others
KUMPULAN PERANGSANG SELANGOR	5843	UTILITIES	Others
KUMPULAN POWERNET BHD	7130	UNKNOWN	Others
KWANTAS CORPORATION BHD	6572	PLANTATION	Others
KYM HOLDINGS BHD	8362	UNKNOWN	Others
LAFARGE MALAYSIA BERHAD	3794	INDUSTRIAL PRODUCTS & SERVICES	Others
LAMBO GROUP BERHAD	18	TECHNOLOGY	Others
LAND & GENERAL BHD	3174	PROPERTY	Others
LANDMARKS BHD	1643	CONSUMER PRODUCTS & SERVICES	Others
LATITUDE TREE HOLDINGS BHD	7006	CONSUMER PRODUCTS & SERVICES	Others
LAY HONG BHD	9385	CONSUMER PRODUCTS & SERVICES	Others
LB ALUMINIUM BHD	9326	UNKNOWN	Others
LBI CAPITAL BHD	8494	UNKNOWN	Others
LBS BINA GROUP BHD	5789	PROPERTY	Others
LEADER STEEL HOLDINGS BHD	9881	UNKNOWN	Others
LEBTECH BERHAD	9628	UNKNOWN	Others
LEE SWEE KIAT GROUP BHD	8079	UNKNOWN	Others
LEON FUAT BERHAD	5232	UNKNOWN	Others
LEWEKO RESOURCES BHD	8745	UNKNOWN	Others
LFE CORPORATION BHD	7170	UNKNOWN	Others
LIEN HOE CORPORATION BHD	3573	UNKNOWN	Others
LII HEN INDUSTRIES BHD	7089	CONSUMER PRODUCTS & SERVICES	Others
LINGKARAN TRANS KOTA HOLDINGS	6645	UNKNOWN	Others
LION FOREST INDUSTRIES BHD	8486	UNKNOWN	Others
LION INDUSTRIES CORPORATION	4235	INDUSTRIAL PRODUCTS & SERVICES	Others
LKL INTERNATIONAL BERHAD	182	UNKNOWN	Others
LONDON BISCUITS BHD	7126	UNKNOWN	Others
LOTTE CHEMICAL TITAN HOLDING BERHAD	5284	UNKNOWN	Others
LPI CAPITAL BHD	8621	UNKNOWN	Others
LTKM BHD	7085	UNKNOWN	Others
LUSTER INDUSTRIES BHD	5068	UNKNOWN	Others
LUXCHEM CORPORATION BHD	5143	INDUSTRIAL PRODUCTS & SERVICES	Others
LYC HEALTHCARE BERHAD	75	UNKNOWN	Others
LYSAGHT GALVANIZED STEEL BHD	9199	UNKNOWN	Others
M3 TECHNOLOGIES(ASIA)BHD	17	UNKNOWN	Others
MAA GROUP BERHAD	1198	UNKNOWN	Others
MAGNA PRIMA BHD	7617	PROPERTY	Others
MAGNI-TECH INDUSTRIES BHD	7087	CONSUMER PRODUCTS & SERVICES	Others
MAGNUM BERHAD	3859	UNKNOWN	Others
MAH SING GROUP BHD	8583	UNKNOWN	Others
MAJUPERAK HOLDINGS BHD	8141	UNKNOWN	Others
MALAKOFF CORPORATION BERHAD	5264	UNKNOWN	Others
MALAYAN FLOUR MILLS BHD	3662	CONSUMER PRODUCTS & SERVICES	Others
MALAYAN UNITED INDUSTRIES BHD	3891	CONSUMER PRODUCTS & SERVICES	Others
MALAYSIA BUILDING SOCIETY BHD	1171	UNKNOWN	Others
MALAYSIA MARINE AND HEAVY ENG	5186	ENERGY	Others
MALAYSIA PACIFIC CORP BHD	6548	UNKNOWN	Others
MALAYSIA SMELTING CORPORATION	5916	INDUSTRIAL PRODUCTS & SERVICES	Others
MALAYSIA STEEL WORKS (KL)BHD	5098	UNKNOWN	Others
MALAYSIAN BULK CARRIERS BHD	5077	TRANSPORTATION & LOGISTICS	Others
MALAYSIAN PACIFIC INDUSTRIES	3867	UNKNOWN	Others
MALAYSIAN RESOURCES CORPORATION BERHAD	1651	UNKNOWN	Others
MALPAC HOLDINGS BHD	4936	UNKNOWN	Others
MALTON BHD	6181	PROPERTY	Others
MANAGEPAY SYSTEMS BERHAD	156	UNKNOWN	Others
MANFORCE GROUP BERHAD	3015	UNKNOWN	Others
MANULIFE HOLDINGS BERHAD	1058	FINANCIAL SERVICES	Others
MARCO HOLDINGS BHD	3514	UNKNOWN	Others
MARINE & GENERAL BERHAD	5078	UNKNOWN	Others
MASTER-PACK GROUP BERHAD	7029	UNKNOWN	Others
MATANG BERHAD	189	UNKNOWN	Others
MATRIX CONCEPTS HOLDINGS BHD	5236	PROPERTY	Others
MAXWELL INT HOLDINGS BERHAD	5189	UNKNOWN	Others
MB WORLD GROUP BERHAD	7189	PROPERTY	Others
MBM RESOURCES BHD	5983	CONSUMER PRODUCTS & SERVICES	Others
MCE HOLDINGS BERHAD	7004	UNKNOWN	Others
MCLEAN TECHNOLOGIES BERHAD	167	UNKNOWN	Others
MCT BERHAD	5182	PROPERTY	Others
MEDA INC. BHD	5040	UNKNOWN	Others
MEDIA CHINESE INTERNATIONAL LT	5090	TELECOMMUNICATIONS & MEDIA	Others
MEDIA PRIMA BHD	4502	TELECOMMUNICATIONS & MEDIA	Others
MEGA FIRST CORPORATION BHD	3069	UTILITIES	Others
MEGA SUN CITY HOLDINGS BERHAD	81	UNKNOWN	Others
MELATI EHSAN HOLDINGS BHD	5129	UNKNOWN	Others
MELEWAR INDUSTRIAL GROUP BHD	3778	UNKNOWN	Others
MENANG CORPORATION (M) BHD	1694	UNKNOWN	Others
MENTIGA CORPORATION BHD	5223	UNKNOWN	Others
MERCURY INDUSTRIES BHD	8192	UNKNOWN	Others
MERGE ENERGY BHD	5006	UNKNOWN	Others
MESB BHD	7234	UNKNOWN	Others
MESINIAGA BHD	5011	UNKNOWN	Others
METRO HEALTHCARE BERHAD	3005	UNKNOWN	Others
METROD HOLDINGS BERHAD	6149	UNKNOWN	Others
METRONIC GLOBAL BHD	43	UNKNOWN	Others
MGB BERHAD	7595	CONSTRUCTION	Others
MHC PLANTATIONS BHD	5026	UNKNOWN	Others
MI TECHNOVATION BERHAD	5286	TECHNOLOGY	Others
MICROLINK SOLUTIONS BHD	126	UNKNOWN	Others
MIECO CHIPBOARD BHD	5001	UNKNOWN	Others
MIKRO MSC BERHAD	112	UNKNOWN	Others
MILUX CORPORATION BHD	7935	UNKNOWN	Others
MINDA GLOBAL BERHAD	5166	UNKNOWN	Others
MINETECH RESOURCES BHD	7219	UNKNOWN	Others
MINHO (M) BHD	5576	UNKNOWN	Others
MINTYE BERHAD	5886	UNKNOWN	Others
MITRAJAYA HOLDINGS BHD	9571	CONSTRUCTION	Others
MK LAND HOLDINGS BHD	8893	PROPERTY	Others
MKH BERHAD	6114	PROPERTY	Others
MLABS SYSTEMS BHD	85	UNKNOWN	Others
MMAG HOLDINGS BERHAD	34	UNKNOWN	Others
MMC CORPORATION BHD	2194	UNKNOWN	Others
MMS VENTURES BHD	113	UNKNOWN	Others
MNC WIRELESS BHD	103	UNKNOWN	Others
MNRB HOLDINGS BHD	6459	FINANCIAL SERVICES	Others
MPHB Capital Berhad	5237	FINANCIAL SERVICES	Others
MQ TECHNOLOGY BHD	70	UNKNOWN	Others
MRCB-QUILL REIT	5123	UNKNOWN	Others
MSIAN GENOMICS RES CENTRE BHD	155	UNKNOWN	Others
MSM MALAYSIA HOLDINGS BERHAD	5202	CONSUMER PRODUCTS & SERVICES	Others
MTD ACPI ENGINEERING BHD	5924	UNKNOWN	Others
MTOUCHE TECHNOLOGY BHD	92	UNKNOWN	Others
MUAR BAN LEE GROUP BERHAD	5152	UNKNOWN	Others
MUDA HOLDINGS BHD	3883	INDUSTRIAL PRODUCTS & SERVICES	Others
MUDAJAYA GROUP BHD	5085	UNKNOWN	Others
MUHIBBAH ENGINEERING (M) BHD	5703	CONSTRUCTION	Others
MUI PROPERTIES BHD	3913	UNKNOWN	Others
MULPHA INTERNATIONAL BHD	3905	CONSUMER PRODUCTS & SERVICES	Others
MULTI SPORTS HOLDINGS LTD	5150	UNKNOWN	Others
MULTI-USAGE HOLDINGS BHD	9539	UNKNOWN	Others
MY E.G. SERVICES BHD	138	UNKNOWN	Others
MYCRON STEEL BHD	5087	UNKNOWN	Others
MYKRIS INTERNATIONAL BERHAD	3010	UNKNOWN	Others
MYNEWS HOLDINGS BERHAD	5275	CONSUMER PRODUCTS & SERVICES	Others
N2N CONNECT BHD	108	TECHNOLOGY	Others
NAIM HOLDINGS BHD	5073	PROPERTY	Others
NATIONWIDE EXPRESS HOLDINGS BERHAD	9806	UNKNOWN	Others
NEGRI SEMBILAN OIL PALMS BHD	2038	PLANTATION	Others
NETX HOLDINGS BHD	20	UNKNOWN	Others
NEW HOONG FATT HOLDINGS BHD	7060	CONSUMER PRODUCTS & SERVICES	Others
NEXGRAM HOLDINGS BERHAD	96	UNKNOWN	Others
NEXTGREEN GLOBAL BERHAD	7241	UNKNOWN	Others
NI HSIN RESOURCES BHD	7215	UNKNOWN	Others
NICHE CAPITAL EMAS HLDG BHD	7139	UNKNOWN	Others
NOTION VTEC BHD	83	TECHNOLOGY	Others
NOVA MSC BHD	26	UNKNOWN	Others
NOVA PHARMA SOLUTIONS BERHAD	3006	UNKNOWN	Others
NOVA WELLNESS GROUP BERHAD	201	UNKNOWN	Others
NPC RESOURCES BHD	5047	PLANTATION	Others
NTPM HOLDINGS BHD	5066	CONSUMER PRODUCTS & SERVICES	Others
NWP HOLDINGS BHD	5025	UNKNOWN	Others
NYLEX (M) BHD	4944	UNKNOWN	Others
OCB BHD	5533	UNKNOWN	Others
OCEANCASH PACIFIC BHD	49	UNKNOWN	Others
OCK GROUP BERHAD	172	TELECOMMUNICATIONS & MEDIA	Others
OCR GROUP BERHAD	7071	UNKNOWN	Others
OKA CORPORATION BHD	7140	UNKNOWN	Others
OLYMPIA INDUSTRIES BHD	3018	UNKNOWN	Others
OMESTI BHD	9008	UNKNOWN	Others
ONLY WORLD GROUP HOLDINGS BERHAD	5260	UNKNOWN	Others
OPCOM HOLDINGS BHD	35	UNKNOWN	Others
OPENSYS (M) BHD	40	UNKNOWN	Others
ORIENTAL FOOD INDUSTRIES HLDG	7107	UNKNOWN	Others
ORIENTAL HOLDINGS BHD	4006	UNKNOWN	Others
ORIENTAL INTEREST BHD	5827	PROPERTY	Others
ORION IXL BERHAD	79	UNKNOWN	Others
ORNAPAPER BHD	5065	UNKNOWN	Others
OSK HOLDINGS BHD	5053	PROPERTY	Others
OSK VENTURES INTERNATIONAL BHD	53	UNKNOWN	Others
OVERSEA ENTERPRISE BERHAD	153	UNKNOWN	Others
P.A. RESOURCES BHD	7225	UNKNOWN	Others
P.I.E. INDUSTRIAL BHD	7095	INDUSTRIAL PRODUCTS & SERVICES	Others
PACIFIC & ORIENT BHD	6009	FINANCIAL SERVICES	Others
PADINI HOLDINGS BHD	7052	UNKNOWN	Others
PAN MALAYSIA CORPORATION BHD	4081	UNKNOWN	Others
PAN MALAYSIA HOLDINGS BHD	1287	UNKNOWN	Others
PANASONIC MANUFACTURING MSIA	3719	UNKNOWN	Others
PANPAGES BERHAD	41	UNKNOWN	Others
PANSAR BERHAD	8419	INDUSTRIAL PRODUCTS & SERVICES	Others
PANTECH GROUP HOLDINGS BHD	5125	INDUSTRIAL PRODUCTS & SERVICES	Others
PAOS HOLDINGS BHD	5022	UNKNOWN	Others
PARAGON GLOBE BERHAD	3611	UNKNOWN	Others
PARAGON UNION BHD	9407	UNKNOWN	Others
PARAMOUNT CORPORATION BHD	1724	PROPERTY	Others
PARKSON HOLDINGS BHD	5657	CONSUMER PRODUCTS & SERVICES	Others
PARLO BERHAD	22	UNKNOWN	Others
PASDEC HOLDINGS BHD	6912	UNKNOWN	Others
PASUKHAS GROUP BERHAD	177	UNKNOWN	Others
PAVILION REAL ESTATE INV TRUST	5212	UNKNOWN	Others
PBA HOLDINGS BHD	5041	UTILITIES	Others
PCCS GROUP BHD	6068	UNKNOWN	Others
PDZ HOLDINGS BHD	6254	UNKNOWN	Others
PECCA GROUP BERHAD	5271	UNKNOWN	Others
PEGASUS HEIGHTS BERHAD	4464	UNKNOWN	Others
PELANGI PUBLISHING GROUP BHD	7190	UNKNOWN	Others
PELIKAN INT.CORPORATION BHD	5231	UNKNOWN	Others
PENSONIC HOLDINGS BHD	9997	UNKNOWN	Others
PENTAMASTER CORPORATION BHD	7160	TECHNOLOGY	Others
PERAK CORPORATION BHD	8346	UNKNOWN	Others
PERAK TRANSIT BERHAD	186	CONSUMER PRODUCTS & SERVICES	Others
PERDANA PETROLEUM BERHAD	7108	UNKNOWN	Others
PERISAI PETROLEUM TEKNOLOGI	47	UNKNOWN	Others
PERMAJU INDUSTRIES BHD	7080	UNKNOWN	Others
PESONA METRO HOLDINGS BHD	8311	UNKNOWN	Others
PESTECH INTERNATIONAL BERHAD	5219	INDUSTRIAL PRODUCTS & SERVICES	Others
PETERLABS HOLDINGS BHD	171	UNKNOWN	Others
PETRA ENERGY BHD	5133	UNKNOWN	Others
PETRON MALAYSIA REFINING & MARKETING BERHAD	3042	ENERGY	Others
PHARMANIAGA BHD	7081	HEALTH CARE	Others
PIMPINAN EHSAN BERHAD	5622	UNKNOWN	Others
PINEAPPLE RESOURCES BHD	6	UNKNOWN	Others
PINEHILL PACIFIC BERHAD	1902	UNKNOWN	Others
PINTARAS JAYA BHD	9598	CONSTRUCTION	Others
PJBUMI BHD	7163	UNKNOWN	Others
PLASTRADE TECHNOLOGY BHD	38	UNKNOWN	Others
PLB ENGINEERING BHD	7055	UNKNOWN	Others
PLENITUDE BHD	5075	PROPERTY	Others
PLS PLANTATIONS BERHAD	9695	PLANTATION	Others
PMB TECHNOLOGY BHD	7172	INDUSTRIAL PRODUCTS & SERVICES	Others
PNE PCB BHD	6637	UNKNOWN	Others
POH HUAT RESOURCES HOLDINGS	7088	CONSUMER PRODUCTS & SERVICES	Others
POH KONG HOLDINGS BHD	5080	UNKNOWN	Others
POLY GLASS FIBRE (M) BHD	8117	UNKNOWN	Others
POLYMER LINK HOLDINGS BERHAD	3007	UNKNOWN	Others
POS MALAYSIA BHD	4634	TRANSPORTATION & LOGISTICS	Others
POWER ROOT BERHAD	7237	CONSUMER PRODUCTS & SERVICES	Others
PRESTAR RESOURCES BHD	9873	UNKNOWN	Others
PRESTARIANG BERHAD	5204	TECHNOLOGY	Others
PRG HOLDINGS BERHAD	7168	CONSUMER PRODUCTS & SERVICES	Others
PRICEWORTH INTERNATIONAL BHD	7123	INDUSTRIAL PRODUCTS & SERVICES	Others
PRINSIPTEK CORPORATION BHD	7145	UNKNOWN	Others
PRIVASIA TECHNOLOGY BERHAD	123	UNKNOWN	Others
PROGRESSIVE IMPACT CORPORATION	7201	UNKNOWN	Others
PROLEXUS BHD	8966	UNKNOWN	Others
PROTASCO BHD	5070	UNKNOWN	Others
PSAHAAN SADUR TIMAH MSIA	5436	INDUSTRIAL PRODUCTS & SERVICES	Others
PUBLIC PACKAGES HOLDINGS BHD	8273	UNKNOWN	Others
PUC BERHAD	7	TELECOMMUNICATIONS & MEDIA	Others
PUNCAK NIAGA HOLDINGS BHD	6807	UNKNOWN	Others
PWF CONSOLIDATED BERHAD	7134	UNKNOWN	Others
QES GROUP BERHAD	196	UNKNOWN	Others
QL RESOURCES BHD	7084	UNKNOWN	Others
QUALITY CONCRETE HOLDINGS BHD	7544	UNKNOWN	Others
RADIANT GLOBALTECH BERHAD	202	UNKNOWN	Others
RALCO CORPORATION BHD	7498	UNKNOWN	Others
RANHILL HOLDINGS BERHAD	5272	UTILITIES	Others
RAPID SYNERGY BHD	7765	PROPERTY	Others
RCE CAPITAL BHD	9296	FINANCIAL SERVICES	Others
REACH ENERGY BHD	5256	ENERGY	Others
RED IDEAS HOLDINGS BERHAD	3002	UNKNOWN	Others
RED SENA BERHAD	5270	SPECIAL PURPOSE ACQUISITION COMPANY	Others
REDTONE INTERNATIONAL BHD	32	UNKNOWN	Others
RESINTECH BHD	7232	UNKNOWN	Others
REV ASIA BERHAD	173	UNKNOWN	Others
REVENUE GROUP BERHAD	200	TECHNOLOGY	Others
REX INDUSTRY BHD	9946	UNKNOWN	Others
REXIT BHD	106	UNKNOWN	Others
RGB INTERNATIONAL BHD	37	CONSUMER PRODUCTS & SERVICES	Others
RGT BERHAD	9954	UNKNOWN	Others
RHONE MA HOLDINGS BERHAD	5278	UNKNOWN	Others
RIMBUNAN SAWIT BHD	5113	PLANTATION	Others
RIVERVIEW RUBBER ESTATES BHD	2542	PLANTATION	Others
ROHAS TECNIC BERHAD	9741	INDUSTRIAL PRODUCTS & SERVICES	Others
RUBBEREX CORPORATION (M) BHD	7803	UNKNOWN	Others
SALCON BHD	8567	UNKNOWN	Others
SALUTICA BERHAD	183	UNKNOWN	Others
SAM ENGINEERING & EQUIPMENT	9822	INDUSTRIAL PRODUCTS & SERVICES	Others
SAMCHEM HOLDINGS BERHAD	5147	UNKNOWN	Others
SANBUMI HOLDINGS BHD	9113	UNKNOWN	Others
SAND NISKO CAPITAL BERHAD	7943	UNKNOWN	Others
SANICHI TECHNOLOGY BHD	133	UNKNOWN	Others
SAPURA ENERGY BERHAD	5218	UNKNOWN	Others
SAPURA INDUSTRIAL BHD	7811	UNKNOWN	Others
SAPURA RESOURCES BHD	4596	UNKNOWN	Others
SARAWAK CABLE BERHAD	5170	UNKNOWN	Others
SARAWAK CONSOLIDATED IND BHD	9237	UNKNOWN	Others
SARAWAK OIL PALMS BHD	5126	PLANTATION	Others
SARAWAK PLANTATION BHD	5135	PLANTATION	Others
SASBADI HOLDINGS BHD	5252	UNKNOWN	Others
SAUDEE GROUP BERHAD	5157	UNKNOWN	Others
SBC CORPORATION BHD	5207	UNKNOWN	Others
SC ESTATE BUILDER BERHAD	109	UNKNOWN	Others
SCANWOLF CORPORATION BHD	7239	UNKNOWN	Others
SCC HOLDINGS BERHAD	158	UNKNOWN	Others
SCGM BHD	7247	INDUSTRIAL PRODUCTS & SERVICES	Others
SCH GROUP BERHAD	161	UNKNOWN	Others
SCICOM (MSC) BHD	99	INDUSTRIAL PRODUCTS & SERVICES	Others
SCIENTEX BERHAD	4731	UNKNOWN	Others
SCOMI ENERGY SERVICES BHD	7045	UNKNOWN	Others
SCOMI GROUP BHD	7158	UNKNOWN	Others
SCOPE INDUSTRIES BHD	28	UNKNOWN	Others
SEACERA GROUP BERHAD	7073	UNKNOWN	Others
SEAL INCORPORATED BHD	4286	UNKNOWN	Others
SEALINK INTERNATIONAL BHD	5145	UNKNOWN	Others
SECUREMETRIC BERHAD	203	UNKNOWN	Others
SEDANIA INNOVATOR BERHAD	178	UNKNOWN	Others
SEE HUP CONSOLIDATED BHD	7053	UNKNOWN	Others
SEERS BERHAD	3009	UNKNOWN	Others
SEG INTERNATIONAL BHD	9792	CONSUMER PRODUCTS & SERVICES	Others
SELANGOR DREDGING BHD	2224	PROPERTY	Others
SELANGOR PROPERTIES BHD	1783	PROPERTY	Others
SENI JAYA CORPORATION BHD	9431	UNKNOWN	Others
SENTORIA GROUP BERHAD	5213	PROPERTY	Others
SERBA DINAMIK HOLDINGS BERHAD	5279	UNKNOWN	Others
SEREMBAN ENGINEERING BERHAD	5163	UNKNOWN	Others
SERN KOU RESOURCES BHD	7180	UNKNOWN	Others
SERSOL BERHAD	55	UNKNOWN	Others
SHANGRI-LA HOTELS (M) BHD	5517	UNKNOWN	Others
SHH RESOURCES HOLDINGS BHD	7412	UNKNOWN	Others
SHIN YANG SHIPPING CORP BHD	5173	TRANSPORTATION & LOGISTICS	Others
SHL CONSOLIDATED BHD	6017	PROPERTY	Others
SIG GASES BERHAD	5181	UNKNOWN	Others
SIGNATURE INTERNATIONAL BHD	7246	UNKNOWN	Others
SILVER RIDGE HOLDINGS BHD	129	UNKNOWN	Others
SIME DARBY PROPERTY BERHAD	5288	UNKNOWN	Others
SIN HENG CHAN (MALAYA) BHD	4316	UNKNOWN	Others
SINMAH CAPITAL BERHAD	9776	UNKNOWN	Others
SINO HUA-AN INTERNATIONAL BHD	2739	UNKNOWN	Others
SINOTOP HOLDINGS BERHAD	8532	UNKNOWN	Others
SKB SHUTTERS CORPORATION BHD	7115	UNKNOWN	Others
SKP RESOURCES BHD	7155	INDUSTRIAL PRODUCTS & SERVICES	Others
SL INNOVATION CAPITAL BERHAD	3008	UNKNOWN	Others
SLP RESOURCES BHD	7248	INDUSTRIAL PRODUCTS & SERVICES	Others
SMIS CORPORATION BHD	7132	UNKNOWN	Others
SMRT HOLDINGS BERHAD	117	UNKNOWN	Others
SMTRACK BERHAD	169	UNKNOWN	Others
SOLID AUTOMOTIVE BHD	5242	UNKNOWN	Others
SOLUTION ENGINEERING HOLDINGS	93	UNKNOWN	Others
SOUTH MALAYSIA INDUSTRIES BHD	4375	UNKNOWN	Others
SOUTHERN ACIDS (M) BHD	5134	INDUSTRIAL PRODUCTS & SERVICES	Others
SOUTHERN STEEL BHD	5665	INDUSTRIAL PRODUCTS & SERVICES	Others
SP SETIA BHD	8664	UNKNOWN	Others
SPRING GALLERY BERHAD	7165	UNKNOWN	Others
SPRITZER BHD	7103	CONSUMER PRODUCTS & SERVICES	Others
STAR MEDIA GROUP BERHAD	6084	TELECOMMUNICATIONS & MEDIA	Others
STERLING PROGRESS BERHAD	140	UNKNOWN	Others
STONE MASTER CORPORATION BHD	7143	UNKNOWN	Others
STRAITS INTER LOGISTICS BERHAD	80	UNKNOWN	Others
SUBUR TIASA HOLDINGS BHD	6904	UNKNOWN	Others
SUCCESS TRANSFORMER CORP BHD	7207	UNKNOWN	Others
SUIWAH CORPORATION BHD	9865	UNKNOWN	Others
SUMATEC RESOURCES BHD	1201	UNKNOWN	Others
SUNGEI BAGAN RUBBER CO (M) BHD	2569	UNKNOWN	Others
SUNSURIA BERHAD	3743	PROPERTY	Others
SUNWAY BERHAD	5211	UNKNOWN	Others
SUNWAY CONSTRUCTION GROUP BERHAD	5263	CONSTRUCTION	Others
SUNWAY REAL ESTATE INVT TRUST	5176	UNKNOWN	Others
SUNZEN BIOTECH BHD	148	UNKNOWN	Others
SUPERCOMNET TECHNOLOGIES BHD	1	INDUSTRIAL PRODUCTS & SERVICES	Others
SUPERLON HOLDINGS BHD	7235	UNKNOWN	Others
SUPERMAX CORPORATION BHD	7106	UNKNOWN	Others
SUPREME CONSOLIDATED RESOURCES BERHAD	3018	UNKNOWN	Others
SURIA CAPITAL HOLDINGS BHD	6521	TRANSPORTATION & LOGISTICS	Others
SWS CAPITAL BERHAD	7186	UNKNOWN	Others
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD	6139	UNKNOWN	Others
SYCAL VENTURES BHD	9717	UNKNOWN	Others
SYF RESOURCES BHD	7082	UNKNOWN	Others
SYMPHONY LIFE BERHAD	1538	UNKNOWN	Others
SYSTECH BHD	50	UNKNOWN	Others
T7 GLOBAL BERHAD	7228	UNKNOWN	Others
TA ANN HOLDINGS BHD	5012	PLANTATION	Others
TA ENTERPRISE BHD	4898	FINANCIAL SERVICES	Others
TA GLOBAL BHD	5158	PROPERTY	Others
TA WIN HOLDINGS BHD	7097	UNKNOWN	Others
TADMAX RESOURCES BERHAD	4022	UNKNOWN	Others
TAFI INDUSTRIES BHD	7211	UNKNOWN	Others
TALAM TRANSFORM BERHAD	2259	UNKNOWN	Others
TALIWORKS CORPORATION BHD	8524	UTILITIES	Others
TAMBUN INDAH LAND BERHAD	5191	PROPERTY	Others
TAN CHONG MOTOR HOLDINGS BHD	4405	CONSUMER PRODUCTS & SERVICES	Others
TANCO HOLDINGS BHD	2429	UNKNOWN	Others
TAS OFFSHORE BERHAD	5149	UNKNOWN	Others
TASCO BERHAD	5140	TRANSPORTATION & LOGISTICS	Others
TASEK CORPORATION BHD	4448	INDUSTRIAL PRODUCTS & SERVICES	Others
TATT GIAP GROUP BERHAD	5178	UNKNOWN	Others
TDM BHD	2054	PLANTATION	Others
TECHBOND GROUP BERHAD	5289	INDUSTRIAL PRODUCTS & SERVICES	Others
TECHFAST HOLDINGS BHD	84	UNKNOWN	Others
TECHNODEX BHD	132	UNKNOWN	Others
TECK GUAN PERDANA BHD	7439	UNKNOWN	Others
TEK SENG HOLDINGS BHD	7200	UNKNOWN	Others
TELEKOM MALAYSIA BHD	4863	UNKNOWN	Others
TEO GUAN LEE CORPORATION BHD	9369	UNKNOWN	Others
TEO SENG CAPITAL BHD	7252	CONSUMER PRODUCTS & SERVICES	Others
TEX CYCLE TECHNOLOGY (M) BHD	89	UNKNOWN	Others
TEXCHEM RESOURCES BHD	8702	UNKNOWN	Others
TFP SOLUTIONS BHD	145	UNKNOWN	Others
TH HEAVY ENGINEERING BERHAD	7206	UNKNOWN	Others
TH PLANTATIONS BHD	5112	PLANTATION	Others
THETA EDGE BERHAD	9075	UNKNOWN	Others
THONG GUAN INDUSTRIES BHD	7034	INDUSTRIAL PRODUCTS & SERVICES	Others
THREE-A RESOURCES BHD	12	CONSUMER PRODUCTS & SERVICES	Others
THRIVEN GLOBAL BERHAD	7889	UNKNOWN	Others
TIEN WAH PRESS HOLDINGS BHD	7374	UNKNOWN	Others
