Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.265	0.265	0.23	0.245	-15.52	"6,905"	0	0	0.255	1	7-Mar-19	1:06 PM	Thursday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	0.865	0.865	0.86	0.86	-5.49	200	0	0	0	0	7-Mar-19	1:06 PM	Thursday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.505	0	0	0	0	0	0	7-Mar-19	1:06 PM	Thursday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.28	0.28	0.26	0.27	-6.9	"7,412"	0.26	76	0	0	7-Mar-19	1:06 PM	Thursday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.39	0.39	0.355	0.365	-9.88	"88,001"	0.345	35	0.37	200	7-Mar-19	1:06 PM	Thursday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	0.78	0.78	0.78	0.78	-4.88	1	0.78	120	0	0	7-Mar-19	1:06 PM	Thursday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	0.99	0.99	0.99	0.99	-6.6	11	0	0	0	0	7-Mar-19	1:06 PM	Thursday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	-	-	-	0.61	0	0	0	0	0	0	7-Mar-19	1:06 PM	Thursday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0	0	0	0	7-Mar-19	1:06 PM	Thursday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	-	-	-	0.005	0	0	0	0	0.05	56	7-Mar-19	1:06 PM	Thursday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.015	400	0	0	7-Mar-19	1:06 PM	Thursday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.075	0.08	0.075	0.08	23.08	"6,285"	0.075	"1,700"	0.085	500	7-Mar-19	1:06 PM	Thursday
ASTRAL ASIA BHD	7054	0.155	0.155	0.15	0.15	0	410	0.145	855	0.15	10	7-Mar-19	1:06 PM	Thursday
AIRASIA X BERHAD	5238	0.255	0.255	0.25	0.255	0	"10,342"	0.25	"52,886"	0.255	"36,771"	7-Mar-19	1:06 PM	Thursday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0.005	"10,330"	7-Mar-19	1:06 PM	Thursday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0	0	0	0	7-Mar-19	1:06 PM	Thursday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	0.05	0.055	0.05	0.05	-9.09	"7,964"	0.05	"36,847"	0.055	"5,524"	7-Mar-19	1:06 PM	Thursday
ABF MALAYSIA BOND INDEX FUND	0800EA	-	-	-	1.167	0	0	1.167	13	1.168	"1,000"	7-Mar-19	1:06 PM	Thursday
ABLEGROUP BERHAD	7086	0.07	0.07	0.07	0.07	0	460	0.07	"9,174"	0.075	"1,908"	7-Mar-19	1:06 PM	Thursday
ALLIANCE BANK MALAYSIA BERHAD	2488	4.2	4.21	4.19	4.19	-0.48	80	4.19	240	4.2	21	7-Mar-19	1:06 PM	Thursday
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)	2488CX	-	-	-	0.005	0	0	0	0	0	0	7-Mar-19	7:11 PM	Thursday
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)	2488CY	-	-	-	0.1	0	0	0	0	0	0	7-Mar-19	1:06 PM	Thursday
ACME HOLDINGS BERHAD	7131	0.25	0.25	0.25	0.25	8.7	220	0.25	60	0.3	47	7-Mar-19	1:06 PM	Thursday
ACOUSTECH BHD	7120	0.45	0.46	0.45	0.45	-1.1	"13,129"	0.45	27	0.455	851	7-Mar-19	1:06 PM	Thursday
ADVANCECON HOLDINGS BERHAD	5281	0.35	0.36	0.35	0.36	2.86	"5,954"	0.355	740	0.36	"1,774"	7-Mar-19	1:06 PM	Thursday
ADVENTA BHD	7191	-	-	-	0.355	0	0	0.355	200	0.385	100	7-Mar-19	1:06 PM	Thursday
ADVANCED PACKAGING TECHNOLOGY	9148	-	-	-	1.9	0	0	1.82	20	2	179	7-Mar-19	1:06 PM	Thursday
AE MULTI HOLDINGS BHD	7146	0.11	0.11	0.11	0.11	-8.33	"1,000"	0.11	"3,188"	0.115	500	7-Mar-19	1:06 PM	Thursday
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019	7146WA	0.005	0.005	0.005	0.005	0	"1,000"	0.005	"12,435"	0.01	"23,382"	7-Mar-19	1:06 PM	Thursday
AEMULUS HOLDINGS BERHAD	181	0.25	0.265	0.25	0.26	4	"29,658"	0.26	220	0.265	"7,244"	7-Mar-19	1:06 PM	Thursday
AEON CO. (M) BHD	6599	1.59	1.61	1.58	1.6	0.63	"3,256"	1.6	162	1.61	"1,034"	7-Mar-19	1:06 PM	Thursday
AEON-CN: CW AEON CO. (M) BERHAD (MIBB)	6599CN	-	-	-	0.015	0	0	0	0	0	0	7-Mar-19	7:11 PM	Thursday
