Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	-	-	-	0.055	0	0	0.02	50	0	0	26-Mar-19	12:21 PM	Tuesday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.815	0	0	0	0	0.8	10	26-Mar-19	12:21 PM	Tuesday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.495	0	0	0	0	0	0	26-Mar-19	12:21 PM	Tuesday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.205	0.205	0.2	0.2	5.26	"1,644"	0.05	100	0.26	100	26-Mar-19	12:21 PM	Tuesday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.27	0.27	0.255	0.255	2	"14,892"	0.25	50	0.265	50	26-Mar-19	12:21 PM	Tuesday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.72	0	0	0	0	0	0	26-Mar-19	12:21 PM	Tuesday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	1.01	0	0	0	0	0	0	26-Mar-19	12:21 PM	Tuesday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.485	0.485	0.47	0.47	3.3	"2,034"	0.45	50	0	0	26-Mar-19	12:21 PM	Tuesday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0	0	0	0	26-Mar-19	12:21 PM	Tuesday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	0.005	0.005	0.005	0.005	0	"1,326"	0	0	0.045	"2,605"	26-Mar-19	12:21 PM	Tuesday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.005	"1,000"	0	0	26-Mar-19	12:21 PM	Tuesday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.07	0.075	0.07	0.075	-6.25	"2,680"	0.075	"1,000"	0.08	"1,353"	26-Mar-19	12:21 PM	Tuesday
ASTRAL ASIA BHD	7054	-	-	-	0.16	0	0	0.15	300	0.17	80	26-Mar-19	12:21 PM	Tuesday
AIRASIA X BERHAD	5238	0.245	0.255	0.245	0.255	4.08	"38,302"	0.25	"9,444"	0.255	"49,016"	26-Mar-19	12:21 PM	Tuesday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0	0	26-Mar-19	12:21 PM	Tuesday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0.005	"1,000"	0.02	200	26-Mar-19	12:21 PM	Tuesday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	0.05	0.05	0.05	0.05	0	"10,000"	0.045	"31,788"	0.05	"7,754"	26-Mar-19	12:21 PM	Tuesday
ABF MALAYSIA BOND INDEX FUND	0800EA	1.179	1.179	1.179	1.179	0.51	43	1.174	"1,000"	1.179	957	26-Mar-19	12:21 PM	Tuesday
ABLEGROUP BERHAD	7086	0.07	0.07	0.07	0.07	0	102	0.07	"12,737"	0.075	"3,123"	26-Mar-19	12:21 PM	Tuesday
ALLIANCE BANK MALAYSIA BERHAD	2488	4.13	4.15	4.12	4.14	0	"1,335"	4.13	145	4.14	164	26-Mar-19	12:21 PM	Tuesday
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)	2488CX	-	-	-	0.005	0	0	0	0	0	0	26-Mar-19	7:11 PM	Tuesday
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)	2488CY	-	-	-	0.1	0	0	0.075	700	0.085	700	26-Mar-19	12:21 PM	Tuesday
ACME HOLDINGS BERHAD	7131	-	-	-	0.25	0	0	0.25	60	0.3	47	26-Mar-19	12:21 PM	Tuesday
