Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	-	-	-	0.055	0	0	0	0	0	0	28-Mar-19	3:42 PM	Thursday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.815	0	0	0	0	0	0	28-Mar-19	3:42 PM	Thursday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.495	0	0	0.43	"1,000"	0.44	"1,000"	28-Mar-19	3:42 PM	Thursday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.195	0.21	0.195	0.21	-2.33	"13,886"	0.205	"1,000"	0.21	"1,000"	28-Mar-19	3:42 PM	Thursday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.25	0.265	0.245	0.265	-3.64	"11,190"	0.26	"1,000"	0.265	500	28-Mar-19	3:42 PM	Thursday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.72	0	0	0.65	500	0.685	100	28-Mar-19	3:42 PM	Thursday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	0.895	0	0	0.88	"1,000"	0.9	"1,000"	28-Mar-19	3:42 PM	Thursday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.46	0.485	0.455	0.485	-1.02	"55,944"	0.475	"1,000"	0.485	"1,000"	28-Mar-19	3:42 PM	Thursday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0	0	0	0	28-Mar-19	3:42 PM	Thursday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	-	-	-	0.005	0	0	0	0	0	0	28-Mar-19	3:42 PM	Thursday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.01	"8,000"	0.03	100	28-Mar-19	3:42 PM	Thursday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.075	0.075	0.075	0.075	-6.25	513	0.075	449	0.085	600	28-Mar-19	3:42 PM	Thursday
ASTRAL ASIA BHD	7054	-	-	-	0.16	0	0	0.15	300	0.17	80	28-Mar-19	3:42 PM	Thursday
