Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.07	0.095	0.065	0.09	12.5	"24,202"	0.06	200	0.1	100	22-Feb-19	4:23 PM	Friday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.5	0	0	0	0	0.535	100	22-Feb-19	4:23 PM	Friday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	0.345	0.38	0.34	0.38	5.56	"139,550"	0	0	0	0	22-Feb-19	4:23 PM	Friday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	-	-	-	0.185	0	0	0	0	0	0	22-Feb-19	4:23 PM	Friday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.19	0.23	0.185	0.23	4.55	"144,500"	0.185	180	0.23	200	22-Feb-19	4:23 PM	Friday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.5	0	0	0.45	300	0.66	100	22-Feb-19	4:23 PM	Friday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	0.72	0.78	0.705	0.78	4.7	"230,660"	0	0	0	0	22-Feb-19	4:23 PM	Friday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.375	0.42	0.37	0.42	6.33	"270,339"	0.25	50	0	0	22-Feb-19	4:23 PM	Friday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0	0	0	0	22-Feb-19	4:23 PM	Friday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	0.015	0.015	0.015	0.015	0	330	0.01	500	0.015	670	22-Feb-19	4:23 PM	Friday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.035	500	0	0	22-Feb-19	4:23 PM	Friday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.17	0.17	0.135	0.135	-12.9	"5,318"	0	0	0	0	22-Feb-19	4:23 PM	Friday
