Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.055	0.055	0.055	0.055	-74.42	155	0.005	"1,100"	0	0	25-Mar-19	4:24 PM	Monday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.815	0	0	0	0	0.815	10	25-Mar-19	4:24 PM	Monday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.495	0	0	0	0	0	0	25-Mar-19	4:24 PM	Monday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.21	0.215	0.19	0.19	-24	"3,356"	0.1	100	0.26	100	25-Mar-19	4:24 PM	Monday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.28	0.285	0.25	0.25	-25.37	"15,039"	0.23	20	0.26	169	25-Mar-19	4:24 PM	Monday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.72	0	0	0	0	0	0	25-Mar-19	4:24 PM	Monday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	1.01	0	0	0	0	0	0	25-Mar-19	4:24 PM	Monday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.495	0.505	0.455	0.455	-18.75	"4,615"	0.445	30	0	0	25-Mar-19	4:24 PM	Monday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0	0	0	0	25-Mar-19	4:24 PM	Monday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	0.005	0.005	0.005	0.005	0	330	0	0	0.01	56	25-Mar-19	4:24 PM	Monday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.005	"6,000"	0	0	25-Mar-19	4:24 PM	Monday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.08	0.08	0.08	0.08	23.08	"1,869"	0.08	591	0.085	859	25-Mar-19	4:24 PM	Monday
ASTRAL ASIA BHD	7054	-	-	-	0.16	0	0	0.15	500	0.17	80	25-Mar-19	4:24 PM	Monday
AIRASIA X BERHAD	5238	0.25	0.255	0.245	0.245	-3.92	"70,747"	0.245	"84,061"	0.25	"2,992"	25-Mar-19	4:24 PM	Monday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0	0	25-Mar-19	4:24 PM	Monday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0.005	"1,000"	0.02	200	25-Mar-19	4:24 PM	Monday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	0.05	0.05	0.05	0.05	0	"2,538"	0.045	"38,001"	0.05	"5,648"	25-Mar-19	4:24 PM	Monday
ABF MALAYSIA BOND INDEX FUND	0800EA	-	-	-	1.173	0	0	1.173	"1,000"	1.178	"1,000"	25-Mar-19	4:24 PM	Monday
ABLEGROUP BERHAD	7086	0.07	0.07	0.07	0.07	-6.67	480	0.07	"12,439"	0.075	"2,953"	25-Mar-19	4:24 PM	Monday
ALLIANCE BANK MALAYSIA BERHAD	2488	4.12	4.16	4.11	4.15	-0.24	"1,853"	4.14	638	4.15	294	25-Mar-19	4:24 PM	Monday
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)	2488CX	-	-	-	0.005	0	0	0	0	0	0	25-Mar-19	7:11 PM	Monday
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)	2488CY	-	-	-	0.1	0	0	0.08	700	0.09	700	25-Mar-19	4:24 PM	Monday
ACME HOLDINGS BERHAD	7131	-	-	-	0.25	0	0	0.25	60	0.3	147	25-Mar-19	4:24 PM	Monday
ACOUSTECH BHD	7120	0.43	0.43	0.425	0.425	-1.16	"9,916"	0.425	150	0.43	828	25-Mar-19	4:24 PM	Monday
ADVANCECON HOLDINGS BERHAD	5281	0.41	0.43	0.41	0.42	-1.18	"14,917"	0.415	"1,963"	0.42	"1,037"	25-Mar-19	4:24 PM	Monday
ADVENTA BHD	7191	0.36	0.36	0.35	0.355	-1.39	156	0.355	40	0.36	510	25-Mar-19	4:24 PM	Monday
ADVANCED PACKAGING TECHNOLOGY	9148	1.88	1.88	1.86	1.86	0	200	1.85	150	1.9	100	25-Mar-19	4:24 PM	Monday
AE MULTI HOLDINGS BHD	7146	0.105	0.105	0.105	0.105	0	"1,100"	0.105	"1,700"	0.11	"2,129"	25-Mar-19	4:24 PM	Monday
