Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
SPSETIA-C13: CW S P SETIA BERHAD (MACQ)	866413	-	-	-	0.145	0	0	0.145	200	0.15	"2,100"	27-Feb-19	10:36 AM	Wednesday
SPSETIA-C14: CW S P SETIA BERHAD (CIMB)	866414	-	-	-	0.215	0	0	0.21	17	0.225	"1,000"	27-Feb-19	10:36 AM	Wednesday
SPSETIA-C9: CW SP SETIA BERHAD (RHB)	8664C9	-	-	-	0.005	0	0	0	0	0.005	"2,500"	27-Feb-19	10:36 AM	Wednesday
S P SETIA BERHAD - ISLAMIC REDEEMABLE CONVERTIBLE PREFERENCE SHARES (RCPS-I)	8664PA	-	-	-	0.9	0	0	0.88	200	0.99	769	27-Feb-19	10:36 AM	Wednesday
S P SETIA BERHAD - ISLAMIC REDEEMABLE CONVERTIBLE PREFERENCE SHARES B (RCPS-I B)	8664PB	-	-	-	0.78	0	0	0.745	103	0.78	100	27-Feb-19	10:36 AM	Wednesday
SILVER RIDGE HOLDINGS BHD	129	-	-	-	0.3	0	0	0.29	"1,450"	0.31	400	27-Feb-19	10:36 AM	Wednesday
SILVER RIDGE HLDG-WARRANT13/23	0129WA	-	-	-	0.105	0	0	0.1	"1,000"	0.105	620	27-Feb-19	10:36 AM	Wednesday
SOUTHERN STEEL BHD	5665	0.815	0.815	0.815	0.815	-0.61	50	0.805	100	0.815	44	27-Feb-19	10:36 AM	Wednesday
SOUTHERN STEEL BERHAD - RCULS 2015/2020	5665LB	-	-	-	0.76	0	0	0.74	100	0	0	27-Feb-19	10:36 AM	Wednesday
STAR MEDIA GROUP BERHAD	6084	0.775	0.78	0.775	0.775	0	491	0.775	292	0.78	50	27-Feb-19	10:36 AM	Wednesday
STERLING PROGRESS BERHAD	140	-	-	-	0.205	0	0	0.18	200	0.205	"3,692"	27-Feb-19	10:36 AM	Wednesday
STERLING PROGRESS BERHAD - WARRANTS 2011/2021	0140WA	-	-	-	0.04	0	0	0.03	"1,800"	0.04	490	27-Feb-19	10:36 AM	Wednesday
STONE MASTER CORPORATION BHD	7143	-	-	-	0.1	0	0	0.11	50	0.12	"1,024"	27-Feb-19	10:36 AM	Wednesday
STONE MASTER CORPORATION BHD - WARRANTS  A  2015/2020	7143WA	0.01	0.01	0.01	0.01	-33.33	100	0.005	"7,800"	0.02	879	27-Feb-19	10:36 AM	Wednesday
STRAITS INTER LOGISTICS BERHAD	80	0.26	0.27	0.26	0.265	1.92	"56,205"	0.26	"20,341"	0.265	"6,666"	27-Feb-19	10:36 AM	Wednesday
