Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	-	-	-	0.055	0	0	0	0	0	0	27-Mar-19	12:51 PM	Wednesday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.815	0	0	0	0	0	0	27-Mar-19	12:51 PM	Wednesday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.495	0	0	0	0	0	0	27-Mar-19	12:51 PM	Wednesday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	0.2	0.22	0.2	0.215	13.16	"29,096"	0.05	100	0.225	100	27-Mar-19	12:51 PM	Wednesday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.265	0.29	0.265	0.285	16.33	"11,330"	0.28	100	0.29	100	27-Mar-19	12:51 PM	Wednesday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.72	0	0	0	0	0	0	27-Mar-19	12:51 PM	Wednesday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	0.87	0	0	0	0	0	0	27-Mar-19	12:51 PM	Wednesday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.475	0.505	0.475	0.495	7.61	"29,586"	0	0	0	0	27-Mar-19	12:51 PM	Wednesday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0	0	0	0	27-Mar-19	12:51 PM	Wednesday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	-	-	-	0.005	0	0	0	0	0	0	27-Mar-19	12:51 PM	Wednesday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.005	"6,000"	0	0	27-Mar-19	12:51 PM	Wednesday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.075	0.075	0.075	0.075	-6.25	733	0.06	"1,300"	0.08	300	27-Mar-19	12:51 PM	Wednesday
ASTRAL ASIA BHD	7054	-	-	-	0.16	0	0	0.15	300	0.17	80	27-Mar-19	12:51 PM	Wednesday
AIRASIA X BERHAD	5238	0.25	0.25	0.245	0.25	0	"4,789"	0.245	"87,245"	0.25	"37,132"	27-Mar-19	12:51 PM	Wednesday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0	0	27-Mar-19	7:12 PM	Wednesday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0	0	0	0	27-Mar-19	12:51 PM	Wednesday
