Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	0.225	0.225	0.225	0.225	0	290	0.19	100	0.225	10	26-Feb-19	9:21 AM	Tuesday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.8	0	0	0	0	0	0	26-Feb-19	9:21 AM	Tuesday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.495	0	0	0	0	0	0	26-Feb-19	9:21 AM	Tuesday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	-	-	-	0.27	0	0	0	0	0	0	26-Feb-19	9:21 AM	Tuesday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	-	-	-	0.35	0	0	0	0	0	0	26-Feb-19	9:21 AM	Tuesday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.75	0	0	0	0	0	0	26-Feb-19	9:21 AM	Tuesday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	0.86	0	0	0	0	0	0	26-Feb-19	9:21 AM	Tuesday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	-	-	-	0.57	0	0	0	0	0	0	26-Feb-19	9:21 AM	Tuesday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0	0	0	0	26-Feb-19	9:21 AM	Tuesday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	-	-	-	0.015	0	0	0	0	0.01	450	26-Feb-19	9:21 AM	Tuesday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.01	"1,000"	0	0	26-Feb-19	9:21 AM	Tuesday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	-	-	-	0.085	0	0	0.07	50	0.095	"1,235"	26-Feb-19	9:21 AM	Tuesday
ASTRAL ASIA BHD	7054	-	-	-	0.145	0	0	0.145	"1,025"	0.155	410	26-Feb-19	9:21 AM	Tuesday
AIRASIA X BERHAD	5238	0.265	0.265	0.26	0.265	1.92	"18,731"	0.26	"103,918"	0.265	"50,163"	26-Feb-19	9:21 AM	Tuesday
